P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_Method,P_SL,P_ReSL,P_OM,Start.Date,End.Date,Start.DTE,End.DTE,DayCount,EntryTime,Future,CE.Strike,CE.Price,CE.SL.Price,CE0.SL.Flag,CE0.SL.Time,CE0.PNL,CE1.Decay.Flag,CE1.Decay.Time,CE1.SL.Flag,CE1.SL.Time,CE1.PNL,CE2.Decay.Flag,CE2.Decay.Time,CE2.SL.Flag,CE2.SL.Time,CE2.PNL,CE3.Decay.Flag,CE3.Decay.Time,CE3.SL.Flag,CE3.SL.Time,CE3.PNL,CE4.Decay.Flag,CE4.Decay.Time,CE4.SL.Flag,CE4.SL.Time,CE4.PNL,CE5.Decay.Flag,CE5.Decay.Time,CE5.SL.Flag,CE5.SL.Time,CE5.PNL,CE6.Decay.Flag,CE6.Decay.Time,CE6.SL.Flag,CE6.SL.Time,CE6.PNL,CE7.Decay.Flag,CE7.Decay.Time,CE7.SL.Flag,CE7.SL.Time,CE7.PNL,PE.Strike,PE.Price,PE.SL.Price,PE0.SL.Flag,PE0.SL.Time,PE0.PNL,PE1.Decay.Flag,PE1.Decay.Time,PE1.SL.Flag,PE1.SL.Time,PE1.PNL,PE2.Decay.Flag,PE2.Decay.Time,PE2.SL.Flag,PE2.SL.Time,PE2.PNL,PE3.Decay.Flag,PE3.Decay.Time,PE3.SL.Flag,PE3.SL.Time,PE3.PNL,PE4.Decay.Flag,PE4.Decay.Time,PE4.SL.Flag,PE4.SL.Time,PE4.PNL,PE5.Decay.Flag,PE5.Decay.Time,PE5.SL.Flag,PE5.SL.Time,PE5.PNL,PE6.Decay.Flag,PE6.Decay.Time,PE6.SL.Flag,PE6.SL.Time,PE6.PNL,PE7.Decay.Flag,PE7.Decay.Time,PE7.SL.Flag,PE7.SL.Time,PE7.PNL
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-01-05,2024-01-11,7,1,7,2024-01-05 09:25:00,21791.25,21750CE,106.7,202.73,False,,105.58300000000001,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21750PE,129.65,246.335,True,2024-01-08 14:38:00,-117.9815,True,2024-01-09 09:22:00,True,2024-01-10 09:15:00,-117.9815,True,2024-01-10 14:58:00,False,,24.553500000000007,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-01-08,2024-01-11,4,1,4,2024-01-08 09:25:00,21809.0,21750CE,105.1,199.68999999999997,False,,103.999,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21750PE,100.8,191.51999999999998,True,2024-01-08 11:07:00,-91.72799999999998,True,2024-01-09 10:43:00,True,2024-01-09 14:27:00,-91.72799999999998,True,2024-01-10 15:04:00,False,,-4.008,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-01-09,2024-01-11,3,1,3,2024-01-09 09:25:00,21735.0,21700CE,77.4,147.06,False,,76.57600000000001,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21700PE,94.2,178.98,True,2024-01-09 14:42:00,-85.72199999999998,True,2024-01-10 14:58:00,False,,39.258,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-01-10,2024-01-11,2,1,2,2024-01-10 09:25:00,21582.45,21500CE,91.55,173.945,True,2024-01-10 15:00:00,-83.31049999999999,True,2024-01-11 14:18:00,False,,-55.2155,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21500PE,70.9,134.71,False,,70.141,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-01-11,2024-01-11,1,1,1,2024-01-11 09:25:00,21746.85,21700CE,40.3,76.57,False,,39.847,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21700PE,35.8,68.02,True,2024-01-11 10:54:00,-32.577999999999996,True,2024-01-11 12:56:00,True,2024-01-11 14:10:00,-32.577999999999996,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-01-12,2024-01-18,7,1,7,2024-01-12 09:25:00,21764.0,21750CE,127.05,241.39499999999998,True,2024-01-12 13:41:00,-115.61549999999998,True,2024-01-17 09:15:00,False,,125.7295,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21750PE,128.3,243.77,True,2024-01-18 09:15:00,-116.753,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-01-15,2024-01-18,4,1,4,2024-01-15 09:25:00,22092.4,22100CE,111.2,211.28,False,,110.03800000000001,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,22100PE,136.5,259.34999999999997,True,2024-01-17 09:15:00,-124.21499999999996,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-01-16,2024-01-18,3,1,3,2024-01-16 09:25:00,22065.3,22050CE,106.95,203.20499999999998,False,,105.8305,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,22050PE,104.8,199.11999999999998,True,2024-01-17 09:15:00,-95.36799999999998,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-01-17,2024-01-18,2,1,2,2024-01-17 09:25:00,21784.4,21800CE,90.05,171.095,False,,89.0995,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21800PE,98.9,187.91,True,2024-01-17 12:03:00,-89.999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-01-18,2024-01-18,1,1,1,2024-01-18 09:25:00,21471.85,21450CE,48.3,91.77,False,,35.517,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21450PE,62.3,118.36999999999999,True,2024-01-18 09:47:00,-56.69299999999999,True,2024-01-18 10:09:00,False,,61.077,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-01-19,2024-01-25,7,1,7,2024-01-19 09:25:00,21661.45,21650CE,164.5,312.55,False,,162.80499999999998,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21650PE,148.8,282.72,True,2024-01-23 12:03:00,-135.40800000000002,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-01-20,2024-01-25,6,1,6,2024-01-20 09:25:00,21722.55,21750CE,122.6,232.93999999999997,False,,121.324,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21750PE,145.1,275.69,True,2024-01-23 11:33:00,-132.041,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-01-23,2024-01-25,3,1,3,2024-01-23 09:25:00,21749.15,21750CE,107.25,203.77499999999998,False,,106.1275,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21750PE,103.05,195.795,True,2024-01-23 10:38:00,-93.7755,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-01-24,2024-01-25,2,1,2,2024-01-24 09:25:00,21226.55,21250CE,112.7,214.13,True,2024-01-24 09:58:00,-102.55699999999999,True,2024-01-24 11:32:00,True,2024-01-24 14:35:00,-102.55699999999999,True,2024-01-25 10:17:00,False,,15.672999999999996,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21250PE,132.7,252.12999999999997,False,,131.32299999999998,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
