P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_Method,P_SL,P_ReSL,P_OM,Start.Date,End.Date,Start.DTE,End.DTE,DayCount,EntryTime,Future,CE.Strike,CE.Price,CE.SL.Price,CE0.SL.Flag,CE0.SL.Time,CE0.PNL,CE1.Decay.Flag,CE1.Decay.Time,CE1.SL.Flag,CE1.SL.Time,CE1.PNL,CE2.Decay.Flag,CE2.Decay.Time,CE2.SL.Flag,CE2.SL.Time,CE2.PNL,CE3.Decay.Flag,CE3.Decay.Time,CE3.SL.Flag,CE3.SL.Time,CE3.PNL,CE4.Decay.Flag,CE4.Decay.Time,CE4.SL.Flag,CE4.SL.Time,CE4.PNL,CE5.Decay.Flag,CE5.Decay.Time,CE5.SL.Flag,CE5.SL.Time,CE5.PNL,CE6.Decay.Flag,CE6.Decay.Time,CE6.SL.Flag,CE6.SL.Time,CE6.PNL,CE7.Decay.Flag,CE7.Decay.Time,CE7.SL.Flag,CE7.SL.Time,CE7.PNL,PE.Strike,PE.Price,PE.SL.Price,PE0.SL.Flag,PE0.SL.Time,PE0.PNL,PE1.Decay.Flag,PE1.Decay.Time,PE1.SL.Flag,PE1.SL.Time,PE1.PNL,PE2.Decay.Flag,PE2.Decay.Time,PE2.SL.Flag,PE2.SL.Time,PE2.PNL,PE3.Decay.Flag,PE3.Decay.Time,PE3.SL.Flag,PE3.SL.Time,PE3.PNL,PE4.Decay.Flag,PE4.Decay.Time,PE4.SL.Flag,PE4.SL.Time,PE4.PNL,PE5.Decay.Flag,PE5.Decay.Time,PE5.SL.Flag,PE5.SL.Time,PE5.PNL,PE6.Decay.Flag,PE6.Decay.Time,PE6.SL.Flag,PE6.SL.Time,PE6.PNL,PE7.Decay.Flag,PE7.Decay.Time,PE7.SL.Flag,PE7.SL.Time,PE7.PNL
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,120.0,120.0,0.4,2024-01-05,2024-01-11,7,1,7,2024-01-05 09:25:00,21791.25,21800CE,84.45,185.79000000000002,False,,83.55550000000001,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21650PE,84.15,185.13000000000002,True,2024-01-08 15:13:00,-101.82150000000001,True,2024-01-09 09:15:00,True,2024-01-10 09:28:00,-101.82150000000001,True,2024-01-10 14:54:00,False,,79.55850000000001,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,120.0,120.0,0.4,2024-01-08,2024-01-11,4,1,4,2024-01-08 09:25:00,21809.0,21750CE,105.1,231.22,False,,103.999,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21750PE,100.8,221.76000000000002,True,2024-01-08 11:57:00,-121.96800000000002,True,2024-01-09 10:43:00,True,2024-01-09 15:00:00,-121.96800000000002,True,2024-01-10 15:04:00,False,,-4.008,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,120.0,120.0,0.4,2024-01-09,2024-01-11,3,1,3,2024-01-09 09:25:00,21735.0,21650CE,103.4,227.48000000000002,False,,100.816,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21700PE,94.2,207.24,True,2024-01-10 09:15:00,-113.982,True,2024-01-10 14:58:00,False,,39.258,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,120.0,120.0,0.4,2024-01-10,2024-01-11,2,1,2,2024-01-10 09:25:00,21582.45,21500CE,91.55,201.41,True,2024-01-11 09:15:00,-110.7755,True,2024-01-11 14:18:00,False,,-55.2155,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21550PE,94.8,208.56,False,,93.802,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,120.0,120.0,0.4,2024-01-11,2024-01-11,1,1,1,2024-01-11 09:25:00,21746.85,21600CE,114.95,252.89000000000001,False,,67.95049999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21800PE,104.65,230.23000000000002,False,,-50.146499999999996,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,120.0,120.0,0.4,2024-01-12,2024-01-18,7,1,7,2024-01-12 09:25:00,21764.0,21800CE,102.05,224.51000000000002,True,2024-01-12 13:55:00,-123.48050000000002,True,2024-01-17 09:15:00,False,,100.9795,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21700PE,106.0,233.20000000000002,True,2024-01-18 09:15:00,-128.26000000000002,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,120.0,120.0,0.4,2024-01-15,2024-01-18,4,1,4,2024-01-15 09:25:00,22092.4,22150CE,88.0,193.60000000000002,False,,87.07000000000001,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,22000PE,92.75,204.05,True,2024-01-17 09:15:00,-112.2275,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,120.0,120.0,0.4,2024-01-16,2024-01-18,3,1,3,2024-01-16 09:25:00,22065.3,22050CE,106.95,235.29000000000002,False,,105.8305,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,22050PE,104.8,230.56,True,2024-01-17 09:15:00,-126.808,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,120.0,120.0,0.4,2024-01-17,2024-01-18,2,1,2,2024-01-17 09:25:00,21784.4,21800CE,90.05,198.11,False,,89.0995,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21800PE,98.9,217.58000000000004,True,2024-01-17 14:29:00,-119.66900000000004,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,120.0,120.0,0.4,2024-01-18,2024-01-18,1,1,1,2024-01-18 09:25:00,21471.85,21400CE,77.0,169.4,False,,14.129999999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21500PE,91.9,202.18000000000004,True,2024-01-18 09:52:00,-111.19900000000003,True,2024-01-18 10:10:00,False,,53.33100000000001,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
