P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_Method,P_SL,P_ReSL,P_OM,Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Price,CE.SL.Price,CE0.SL.Flag,CE0.SL.Time,CE0.PNL,CE1.Decay.Flag,CE1.Decay.Time,CE1.SL.Flag,CE1.SL.Time,CE1.PNL,CE2.Decay.Flag,CE2.Decay.Time,CE2.SL.Flag,CE2.SL.Time,CE2.PNL,CE3.Decay.Flag,CE3.Decay.Time,CE3.SL.Flag,CE3.SL.Time,CE3.PNL,CE4.Decay.Flag,CE4.Decay.Time,CE4.SL.Flag,CE4.SL.Time,CE4.PNL,CE5.Decay.Flag,CE5.Decay.Time,CE5.SL.Flag,CE5.SL.Time,CE5.PNL,CE6.Decay.Flag,CE6.Decay.Time,CE6.SL.Flag,CE6.SL.Time,CE6.PNL,CE7.Decay.Flag,CE7.Decay.Time,CE7.SL.Flag,CE7.SL.Time,CE7.PNL,PE.Strike,PE.Price,PE.SL.Price,PE0.SL.Flag,PE0.SL.Time,PE0.PNL,PE1.Decay.Flag,PE1.Decay.Time,PE1.SL.Flag,PE1.SL.Time,PE1.PNL,PE2.Decay.Flag,PE2.Decay.Time,PE2.SL.Flag,PE2.SL.Time,PE2.PNL,PE3.Decay.Flag,PE3.Decay.Time,PE3.SL.Flag,PE3.SL.Time,PE3.PNL,PE4.Decay.Flag,PE4.Decay.Time,PE4.SL.Flag,PE4.SL.Time,PE4.PNL,PE5.Decay.Flag,PE5.Decay.Time,PE5.SL.Flag,PE5.SL.Time,PE5.PNL,PE6.Decay.Flag,PE6.Decay.Time,PE6.SL.Flag,PE6.SL.Time,PE6.PNL,PE7.Decay.Flag,PE7.Decay.Time,PE7.SL.Flag,PE7.SL.Time,PE7.PNL
NRE,NIFTY,2022-06-23 09:20:00,2022-06-23 15:25:00,SELL,CC,20.0,20.0,0,2022-06-23,Thursday,1,2022-06-23 09:20:00,15474.2,15500CE,54.0,64.8,True,2022-06-23 09:25:00,-17.79,True,2022-06-23 11:57:00,True,2022-06-23 13:45:00,-11.339999999999996,True,2022-06-23 13:47:00,True,2022-06-23 13:54:00,-21.339999999999996,True,2022-06-23 14:05:00,True,2022-06-23 14:40:00,-12.29,True,2022-06-23 15:00:00,True,2022-06-23 15:02:00,-14.690000000000005,True,2022-06-23 15:05:00,False,,-4.29,False,,False,,0.0,False,,False,,0.0,15500PE,71.4,85.68,True,2022-06-23 12:47:00,-15.863999999999992,True,2022-06-23 13:33:00,False,,70.63600000000001,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-06-23 09:20:00,2022-06-23 15:25:00,SELL,CC,20.0,20.0,1,2022-06-23,Thursday,1,2022-06-23 09:20:00,15474.2,15300CE,196.45,235.73999999999998,True,2022-06-23 09:34:00,-42.16450000000002,True,2022-06-23 12:21:00,True,2022-06-23 13:43:00,-45.51450000000001,True,2022-06-23 14:26:00,True,2022-06-23 14:31:00,-47.564500000000024,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,15650PE,178.2,213.83999999999997,True,2022-06-23 12:46:00,-44.98200000000001,True,2022-06-23 13:35:00,False,,83.818,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-06-23 09:20:00,2022-06-23 15:25:00,SELL,CC,30.0,30.0,0,2022-06-23,Thursday,1,2022-06-23 09:20:00,15474.2,15500CE,54.0,70.2,True,2022-06-23 09:25:00,-17.79,True,2022-06-23 11:57:00,True,2022-06-23 13:54:00,-21.339999999999996,True,2022-06-23 14:05:00,True,2022-06-23 14:44:00,-32.99,True,2022-06-23 15:00:00,False,,-4.29,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,15500PE,71.4,92.82000000000001,True,2022-06-23 12:48:00,-22.714,True,2022-06-23 13:33:00,False,,70.63600000000001,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-06-23 09:20:00,2022-06-23 15:25:00,SELL,CC,30.0,30.0,1,2022-06-23,Thursday,1,2022-06-23 09:20:00,15474.2,15300CE,196.45,255.385,True,2022-06-23 09:45:00,-71.16449999999999,True,2022-06-23 12:21:00,True,2022-06-23 13:54:00,-65.01450000000001,True,2022-06-23 14:26:00,True,2022-06-23 14:40:00,-66.91449999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,15650PE,178.2,231.66,True,2022-06-23 12:48:00,-56.08200000000001,True,2022-06-23 13:35:00,False,,83.818,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-06-23 09:20:00,2022-06-23 15:25:00,SELL,HL,20.0,20.0,0,2022-06-23,Thursday,1,2022-06-23 09:20:00,15474.2,15500CE,54.0,64.8,True,2022-06-23 09:25:00,-11.339999999999996,True,2022-06-23 11:57:00,True,2022-06-23 12:11:00,-11.339999999999996,True,2022-06-23 12:13:00,True,2022-06-23 13:44:00,-11.339999999999996,True,2022-06-23 13:47:00,True,2022-06-23 13:54:00,-11.339999999999996,True,2022-06-23 14:05:00,True,2022-06-23 14:38:00,-11.339999999999996,True,2022-06-23 15:00:00,True,2022-06-23 15:02:00,-11.339999999999996,True,2022-06-23 15:03:00,True,2022-06-23 15:07:00,-11.339999999999996,True,2022-06-23 15:09:00,False,,-4.29,15500PE,71.4,85.68,True,2022-06-23 12:47:00,-14.994000000000002,True,2022-06-23 13:32:00,False,,70.63600000000001,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-06-23 09:20:00,2022-06-23 15:25:00,SELL,HL,20.0,20.0,1,2022-06-23,Thursday,1,2022-06-23 09:20:00,15474.2,15300CE,196.45,235.73999999999998,True,2022-06-23 09:34:00,-41.25449999999999,True,2022-06-23 12:21:00,True,2022-06-23 13:43:00,-41.25449999999999,True,2022-06-23 14:14:00,True,2022-06-23 14:18:00,-41.25449999999999,True,2022-06-23 14:26:00,True,2022-06-23 14:31:00,-41.25449999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,15650PE,178.2,213.83999999999997,True,2022-06-23 12:45:00,-37.42199999999998,True,2022-06-23 13:35:00,False,,83.818,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-06-23 09:20:00,2022-06-23 15:25:00,SELL,HL,30.0,30.0,0,2022-06-23,Thursday,1,2022-06-23 09:20:00,15474.2,15500CE,54.0,70.2,True,2022-06-23 09:25:00,-16.740000000000002,True,2022-06-23 11:57:00,True,2022-06-23 13:45:00,-16.740000000000002,True,2022-06-23 13:47:00,True,2022-06-23 13:54:00,-16.740000000000002,True,2022-06-23 14:05:00,True,2022-06-23 14:41:00,-16.740000000000002,True,2022-06-23 15:00:00,False,,-4.29,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,15500PE,71.4,92.82000000000001,True,2022-06-23 12:48:00,-22.134,True,2022-06-23 13:32:00,False,,70.63600000000001,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-06-23 09:20:00,2022-06-23 15:25:00,SELL,HL,30.0,30.0,1,2022-06-23,Thursday,1,2022-06-23 09:20:00,15474.2,15300CE,196.45,255.385,True,2022-06-23 09:43:00,-60.8995,True,2022-06-23 12:21:00,True,2022-06-23 13:45:00,-60.8995,True,2022-06-23 14:14:00,True,2022-06-23 14:32:00,-60.8995,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,15650PE,178.2,231.66,True,2022-06-23 12:48:00,-55.242000000000004,True,2022-06-23 13:35:00,False,,83.818,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
