P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_Method,P_SL,P_ReSL,P_OM,Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Price,CE.SL.Price,CE0.SL.Flag,CE0.SL.Time,CE0.PNL,CE1.Decay.Flag,CE1.Decay.Time,CE1.SL.Flag,CE1.SL.Time,CE1.PNL,CE2.Decay.Flag,CE2.Decay.Time,CE2.SL.Flag,CE2.SL.Time,CE2.PNL,CE3.Decay.Flag,CE3.Decay.Time,CE3.SL.Flag,CE3.SL.Time,CE3.PNL,CE4.Decay.Flag,CE4.Decay.Time,CE4.SL.Flag,CE4.SL.Time,CE4.PNL,CE5.Decay.Flag,CE5.Decay.Time,CE5.SL.Flag,CE5.SL.Time,CE5.PNL,CE6.Decay.Flag,CE6.Decay.Time,CE6.SL.Flag,CE6.SL.Time,CE6.PNL,CE7.Decay.Flag,CE7.Decay.Time,CE7.SL.Flag,CE7.SL.Time,CE7.PNL,PE.Strike,PE.Price,PE.SL.Price,PE0.SL.Flag,PE0.SL.Time,PE0.PNL,PE1.Decay.Flag,PE1.Decay.Time,PE1.SL.Flag,PE1.SL.Time,PE1.PNL,PE2.Decay.Flag,PE2.Decay.Time,PE2.SL.Flag,PE2.SL.Time,PE2.PNL,PE3.Decay.Flag,PE3.Decay.Time,PE3.SL.Flag,PE3.SL.Time,PE3.PNL,PE4.Decay.Flag,PE4.Decay.Time,PE4.SL.Flag,PE4.SL.Time,PE4.PNL,PE5.Decay.Flag,PE5.Decay.Time,PE5.SL.Flag,PE5.SL.Time,PE5.PNL,PE6.Decay.Flag,PE6.Decay.Time,PE6.SL.Flag,PE6.SL.Time,PE6.PNL,PE7.Decay.Flag,PE7.Decay.Time,PE7.SL.Flag,PE7.SL.Time,PE7.PNL
NRE,NIFTY,2022-04-06 09:20:00,2022-04-06 15:25:00,SELL,CC,20.0,20.0,0,2022-04-06,Wednesday,2,2022-04-06 09:20:00,17930.4,17900CE,77.2,92.64,False,,50.12800000000001,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17900PE,90.45,108.54,True,2022-04-06 09:55:00,-23.6545,True,2022-04-06 11:58:00,True,2022-04-06 13:08:00,-19.004499999999993,True,2022-04-06 14:30:00,True,2022-04-06 14:42:00,-21.254499999999993,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-04-06 09:20:00,2022-04-06 15:25:00,SELL,CC,20.0,20.0,1,2022-04-06,Wednesday,2,2022-04-06 09:20:00,17930.4,17750CE,172.85,207.42,False,,69.22149999999999,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,18050PE,191.55,229.86,True,2022-04-06 09:58:00,-46.215499999999984,True,2022-04-06 12:19:00,True,2022-04-06 13:04:00,-44.06549999999998,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-04-06 09:20:00,2022-04-06 15:25:00,SELL,CC,30.0,30.0,0,2022-04-06,Wednesday,2,2022-04-06 09:20:00,17930.4,17900CE,77.2,100.36000000000001,False,,50.12800000000001,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17900PE,90.45,117.58500000000001,True,2022-04-06 09:58:00,-29.254499999999993,True,2022-04-06 11:58:00,True,2022-04-06 13:25:00,-32.8545,True,2022-04-06 14:30:00,True,2022-04-06 14:56:00,-33.454499999999996,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-04-06 09:20:00,2022-04-06 15:25:00,SELL,CC,30.0,30.0,1,2022-04-06,Wednesday,2,2022-04-06 09:20:00,17930.4,17750CE,172.85,224.705,False,,69.22149999999999,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,18050PE,191.55,249.01500000000001,True,2022-04-06 10:39:00,-71.36549999999998,True,2022-04-06 12:19:00,True,2022-04-06 13:25:00,-60.36549999999999,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-04-06 09:20:00,2022-04-06 15:25:00,SELL,HL,20.0,20.0,0,2022-04-06,Wednesday,2,2022-04-06 09:20:00,17930.4,17900CE,77.2,92.64,False,,50.12800000000001,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17900PE,90.45,108.54,True,2022-04-06 09:47:00,-18.994500000000002,True,2022-04-06 11:58:00,True,2022-04-06 13:04:00,-18.994500000000002,True,2022-04-06 14:30:00,True,2022-04-06 14:35:00,-18.994500000000002,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-04-06 09:20:00,2022-04-06 15:25:00,SELL,HL,20.0,20.0,1,2022-04-06,Wednesday,2,2022-04-06 09:20:00,17930.4,17750CE,172.85,207.42,False,,69.22149999999999,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,18050PE,191.55,229.86,True,2022-04-06 09:55:00,-40.225500000000004,True,2022-04-06 12:00:00,True,2022-04-06 13:04:00,-40.225500000000004,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-04-06 09:20:00,2022-04-06 15:25:00,SELL,HL,30.0,30.0,0,2022-04-06,Wednesday,2,2022-04-06 09:20:00,17930.4,17900CE,77.2,100.36000000000001,False,,50.12800000000001,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17900PE,90.45,117.58500000000001,True,2022-04-06 09:58:00,-28.039500000000004,True,2022-04-06 11:58:00,True,2022-04-06 13:25:00,-28.039500000000004,True,2022-04-06 14:30:00,True,2022-04-06 14:45:00,-28.039500000000004,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-04-06 09:20:00,2022-04-06 15:25:00,SELL,HL,30.0,30.0,1,2022-04-06,Wednesday,2,2022-04-06 09:20:00,17930.4,17750CE,172.85,224.705,False,,69.22149999999999,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,18050PE,191.55,249.01500000000001,True,2022-04-06 10:39:00,-59.380500000000005,True,2022-04-06 12:00:00,True,2022-04-06 13:25:00,-59.380500000000005,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
