P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_Method,P_SL,P_ReSL,P_OM,Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Price,CE.SL.Price,CE0.SL.Flag,CE0.SL.Time,CE0.PNL,CE1.Decay.Flag,CE1.Decay.Time,CE1.SL.Flag,CE1.SL.Time,CE1.PNL,CE2.Decay.Flag,CE2.Decay.Time,CE2.SL.Flag,CE2.SL.Time,CE2.PNL,CE3.Decay.Flag,CE3.Decay.Time,CE3.SL.Flag,CE3.SL.Time,CE3.PNL,CE4.Decay.Flag,CE4.Decay.Time,CE4.SL.Flag,CE4.SL.Time,CE4.PNL,CE5.Decay.Flag,CE5.Decay.Time,CE5.SL.Flag,CE5.SL.Time,CE5.PNL,CE6.Decay.Flag,CE6.Decay.Time,CE6.SL.Flag,CE6.SL.Time,CE6.PNL,CE7.Decay.Flag,CE7.Decay.Time,CE7.SL.Flag,CE7.SL.Time,CE7.PNL,PE.Strike,PE.Price,PE.SL.Price,PE0.SL.Flag,PE0.SL.Time,PE0.PNL,PE1.Decay.Flag,PE1.Decay.Time,PE1.SL.Flag,PE1.SL.Time,PE1.PNL,PE2.Decay.Flag,PE2.Decay.Time,PE2.SL.Flag,PE2.SL.Time,PE2.PNL,PE3.Decay.Flag,PE3.Decay.Time,PE3.SL.Flag,PE3.SL.Time,PE3.PNL,PE4.Decay.Flag,PE4.Decay.Time,PE4.SL.Flag,PE4.SL.Time,PE4.PNL,PE5.Decay.Flag,PE5.Decay.Time,PE5.SL.Flag,PE5.SL.Time,PE5.PNL,PE6.Decay.Flag,PE6.Decay.Time,PE6.SL.Flag,PE6.SL.Time,PE6.PNL,PE7.Decay.Flag,PE7.Decay.Time,PE7.SL.Flag,PE7.SL.Time,PE7.PNL
NRE,NIFTY,2022-09-08 09:20:00,2022-09-08 15:25:00,SELL,CC,20.0,20.0,0,2022-09-08,Thursday,1,2022-09-08 09:20:00,17756.15,17750CE,47.65,57.18,True,2022-09-08 09:24:00,-12.4765,True,2022-09-08 10:42:00,True,2022-09-08 14:56:00,-11.926500000000003,True,2022-09-08 15:05:00,False,,-1.6264999999999985,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17750PE,54.95,65.94,True,2022-09-08 12:59:00,-17.099499999999995,True,2022-09-08 13:14:00,False,,54.3005,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-09-08 09:20:00,2022-09-08 15:25:00,SELL,CC,20.0,20.0,1,2022-09-08,Thursday,1,2022-09-08 09:20:00,17756.15,17550CE,201.55,241.86,True,2022-09-08 09:33:00,-44.7655,True,2022-09-08 10:44:00,True,2022-09-08 14:50:00,-50.41549999999998,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17950PE,209.35,251.21999999999997,True,2022-09-08 13:00:00,-49.793500000000016,True,2022-09-08 13:37:00,False,,55.706499999999984,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-09-08 09:20:00,2022-09-08 15:25:00,SELL,CC,30.0,30.0,0,2022-09-08,Thursday,1,2022-09-08 09:20:00,17756.15,17750CE,47.65,61.945,True,2022-09-08 09:25:00,-19.576500000000003,True,2022-09-08 10:42:00,False,,-1.6264999999999985,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17750PE,54.95,71.435,True,2022-09-08 12:59:00,-17.099499999999995,True,2022-09-08 13:14:00,False,,54.3005,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-09-08 09:20:00,2022-09-08 15:25:00,SELL,CC,30.0,30.0,1,2022-09-08,Thursday,1,2022-09-08 09:20:00,17756.15,17550CE,201.55,262.01500000000004,False,,-49.2655,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17950PE,209.35,272.15500000000003,False,,55.706499999999984,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-09-08 09:20:00,2022-09-08 15:25:00,SELL,HL,20.0,20.0,0,2022-09-08,Thursday,1,2022-09-08 09:20:00,17756.15,17750CE,47.65,57.18,True,2022-09-08 09:24:00,-10.0065,True,2022-09-08 10:42:00,True,2022-09-08 14:56:00,-10.0065,True,2022-09-08 15:00:00,True,2022-09-08 15:07:00,-10.0065,True,2022-09-08 15:09:00,False,,-1.6264999999999985,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17750PE,54.95,65.94,True,2022-09-08 10:42:00,-11.539499999999995,True,2022-09-08 10:43:00,True,2022-09-08 12:59:00,-11.539499999999995,True,2022-09-08 13:12:00,False,,54.3005,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-09-08 09:20:00,2022-09-08 15:25:00,SELL,HL,20.0,20.0,1,2022-09-08,Thursday,1,2022-09-08 09:20:00,17756.15,17550CE,201.55,241.86,True,2022-09-08 09:32:00,-42.325500000000005,True,2022-09-08 10:42:00,True,2022-09-08 14:50:00,-42.325500000000005,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17950PE,209.35,251.21999999999997,True,2022-09-08 12:59:00,-43.963499999999975,True,2022-09-08 13:28:00,False,,55.706499999999984,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-09-08 09:20:00,2022-09-08 15:25:00,SELL,HL,30.0,30.0,0,2022-09-08,Thursday,1,2022-09-08 09:20:00,17756.15,17750CE,47.65,61.945,True,2022-09-08 09:25:00,-14.771500000000001,True,2022-09-08 10:42:00,False,,-1.6264999999999985,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17750PE,54.95,71.435,True,2022-09-08 10:42:00,-17.034499999999998,True,2022-09-08 10:43:00,True,2022-09-08 12:59:00,-17.034499999999998,True,2022-09-08 13:12:00,False,,54.3005,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-09-08 09:20:00,2022-09-08 15:25:00,SELL,HL,30.0,30.0,1,2022-09-08,Thursday,1,2022-09-08 09:20:00,17756.15,17550CE,201.55,262.01500000000004,False,,-49.2655,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17950PE,209.35,272.15500000000003,False,,55.706499999999984,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
