P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_Method,P_SL,P_ReSL,P_OM,Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Price,CE.SL.Price,CE0.SL.Flag,CE0.SL.Time,CE0.PNL,CE1.Decay.Flag,CE1.Decay.Time,CE1.SL.Flag,CE1.SL.Time,CE1.PNL,CE2.Decay.Flag,CE2.Decay.Time,CE2.SL.Flag,CE2.SL.Time,CE2.PNL,CE3.Decay.Flag,CE3.Decay.Time,CE3.SL.Flag,CE3.SL.Time,CE3.PNL,CE4.Decay.Flag,CE4.Decay.Time,CE4.SL.Flag,CE4.SL.Time,CE4.PNL,CE5.Decay.Flag,CE5.Decay.Time,CE5.SL.Flag,CE5.SL.Time,CE5.PNL,CE6.Decay.Flag,CE6.Decay.Time,CE6.SL.Flag,CE6.SL.Time,CE6.PNL,CE7.Decay.Flag,CE7.Decay.Time,CE7.SL.Flag,CE7.SL.Time,CE7.PNL,PE.Strike,PE.Price,PE.SL.Price,PE0.SL.Flag,PE0.SL.Time,PE0.PNL,PE1.Decay.Flag,PE1.Decay.Time,PE1.SL.Flag,PE1.SL.Time,PE1.PNL,PE2.Decay.Flag,PE2.Decay.Time,PE2.SL.Flag,PE2.SL.Time,PE2.PNL,PE3.Decay.Flag,PE3.Decay.Time,PE3.SL.Flag,PE3.SL.Time,PE3.PNL,PE4.Decay.Flag,PE4.Decay.Time,PE4.SL.Flag,PE4.SL.Time,PE4.PNL,PE5.Decay.Flag,PE5.Decay.Time,PE5.SL.Flag,PE5.SL.Time,PE5.PNL,PE6.Decay.Flag,PE6.Decay.Time,PE6.SL.Flag,PE6.SL.Time,PE6.PNL,PE7.Decay.Flag,PE7.Decay.Time,PE7.SL.Flag,PE7.SL.Time,PE7.PNL
NRE,NIFTY,2022-10-07 09:20:00,2022-10-07 15:25:00,SELL,CC,20.0,20.0,0,2022-10-07,Friday,7,2022-10-07 09:20:00,17297.0,17300CE,147.6,177.11999999999998,False,,-1.7760000000000113,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17300PE,155.65,186.78,True,2022-10-07 12:05:00,-34.35649999999998,True,2022-10-07 12:41:00,False,,22.9435,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-10-07 09:20:00,2022-10-07 15:25:00,SELL,CC,20.0,20.0,1,2022-10-07,Friday,7,2022-10-07 09:20:00,17297.0,17250CE,175.6,210.72,False,,-3.6059999999999945,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17350PE,180.4,216.48,True,2022-10-07 12:05:00,-39.103999999999985,True,2022-10-07 12:42:00,False,,23.39600000000002,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-10-07 09:20:00,2022-10-07 15:25:00,SELL,CC,30.0,30.0,0,2022-10-07,Friday,7,2022-10-07 09:20:00,17297.0,17300CE,147.6,191.88,False,,-1.7760000000000113,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17300PE,155.65,202.34500000000003,False,,22.9435,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-10-07 09:20:00,2022-10-07 15:25:00,SELL,CC,30.0,30.0,1,2022-10-07,Friday,7,2022-10-07 09:20:00,17297.0,17250CE,175.6,228.28,False,,-3.6059999999999945,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17350PE,180.4,234.52,False,,23.39600000000002,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-10-07 09:20:00,2022-10-07 15:25:00,SELL,HL,20.0,20.0,0,2022-10-07,Friday,7,2022-10-07 09:20:00,17297.0,17300CE,147.6,177.11999999999998,False,,-1.7760000000000113,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17300PE,155.65,186.78,True,2022-10-07 12:01:00,-32.686499999999995,True,2022-10-07 12:41:00,False,,22.9435,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-10-07 09:20:00,2022-10-07 15:25:00,SELL,HL,20.0,20.0,1,2022-10-07,Friday,7,2022-10-07 09:20:00,17297.0,17250CE,175.6,210.72,False,,-3.6059999999999945,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17350PE,180.4,216.48,True,2022-10-07 12:05:00,-37.883999999999986,True,2022-10-07 12:41:00,False,,23.39600000000002,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-10-07 09:20:00,2022-10-07 15:25:00,SELL,HL,30.0,30.0,0,2022-10-07,Friday,7,2022-10-07 09:20:00,17297.0,17300CE,147.6,191.88,False,,-1.7760000000000113,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17300PE,155.65,202.34500000000003,False,,22.9435,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NRE,NIFTY,2022-10-07 09:20:00,2022-10-07 15:25:00,SELL,HL,30.0,30.0,1,2022-10-07,Friday,7,2022-10-07 09:20:00,17297.0,17250CE,175.6,228.28,False,,-3.6059999999999945,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,17350PE,180.4,234.52,False,,23.39600000000002,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
