P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_sl,P_intraSL,P_OM,P_FixedOrDynamic,P_NormalOrCut,Start.Date,End.Date,dte1,dte2,dte3,dte4,dte5,Start.DTE,End.DTE,Day.Count,STD0.Current_dt,STD0.Scrip,STD0.Price,STD0.Future,STD0.SL.Flag,STD0.Intra.SL.Flag,STD0.Hit_Time,STD0.PNL,STD1.Current_dt,STD1.Scrip,STD1.Price,STD1.Future,STD1.SL.Flag,STD1.Intra.SL.Flag,STD1.Hit_Time,STD1.PNL,STD2.Current_dt,STD2.Scrip,STD2.Price,STD2.Future,STD2.SL.Flag,STD2.Intra.SL.Flag,STD2.Hit_Time,STD2.PNL,STD3.Current_dt,STD3.Scrip,STD3.Price,STD3.Future,STD3.SL.Flag,STD3.Intra.SL.Flag,STD3.Hit_Time,STD3.PNL,STD4.Current_dt,STD4.Scrip,STD4.Price,STD4.Future,STD4.SL.Flag,STD4.Intra.SL.Flag,STD4.Hit_Time,STD4.PNL,STD5.Current_dt,STD5.Scrip,STD5.Price,STD5.Future,STD5.SL.Flag,STD5.Intra.SL.Flag,STD5.Hit_Time,STD5.PNL,STD6.Current_dt,STD6.Scrip,STD6.Price,STD6.Future,STD6.SL.Flag,STD6.Intra.SL.Flag,STD6.Hit_Time,STD6.PNL,STD7.Current_dt,STD7.Scrip,STD7.Price,STD7.Future,STD7.SL.Flag,STD7.Intra.SL.Flag,STD7.Hit_Time,STD7.PNL,STD8.Current_dt,STD8.Scrip,STD8.Price,STD8.Future,STD8.SL.Flag,STD8.Intra.SL.Flag,STD8.Hit_Time,STD8.PNL,STD9.Current_dt,STD9.Scrip,STD9.Price,STD9.Future,STD9.SL.Flag,STD9.Intra.SL.Flag,STD9.Hit_Time,STD9.PNL
SRE_W_Range,NIFTY,09:20:00,15:29:00,BUY,50.0,100.0,0.0,dynamic,normal,2020-04-13,2020-04-16,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4,2020-04-13 09:20:00,"('9000CE', '9000PE')",428.4,9047.4,True,False,2020-04-15 09:49:00,49.83799999999999,2020-04-15 09:49:00,"('9200CE', '9200PE')",267.9,9205.0,True,False,2020-04-15 13:45:00,6.470999999999977,2020-04-15 13:45:00,"('9050CE', '9050PE')",234.75,9073.1,True,False,2020-04-15 14:10:00,-12.5975,2020-04-15 14:10:00,"('8950CE', '8950PE')",228.35000000000002,8936.6,True,False,2020-04-16 09:19:00,39.641,2020-04-16 09:19:00,"('8850CE', '8850PE')",146.0,8846.6,True,False,2020-04-16 09:40:00,-29.71,2020-04-16 09:40:00,"('8950CE', '8950PE')",156.3,8944.95,True,False,2020-04-16 10:00:00,11.73700000000001,2020-04-16 10:00:00,"('8850CE', '8850PE')",134.8,8886.0,True,False,2020-04-16 10:15:00,-21.997999999999976,,,,,False,False,,,,,,,False,False,,,,,,,False,False,,
SRE_W_Range,NIFTY,09:20:00,15:29:00,BUY,50.0,100.0,0.0,dynamic,cut,2020-04-13,2020-04-16,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4,2020-04-13 09:20:00,"('9000CE', '9000PE')",428.4,9047.4,True,False,2020-04-15 09:49:00,49.83799999999999,2020-04-15 15:25:00,"('8900CE', '8900PE')",210.9,8936.05,True,False,2020-04-16 12:11:00,62.341000000000015,,,,,False,False,,,,,,,False,False,,,,,,,False,False,,,,,,,False,False,,,,,,,False,False,,,,,,,False,False,,,,,,,False,False,,,,,,,False,False,,
SRE_W_Range,NIFTY,09:20:00,15:29:00,BUY,50.0,100.0,0.0,fixed,normal,2020-04-13,2020-04-16,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4,2020-04-13 09:20:00,"('9000CE', '9000PE')",428.4,9047.4,True,False,2020-04-15 09:53:00,103.11599999999997,2020-04-15 09:53:00,"('9200CE', '9200PE')",266.85,9234.8,True,False,2020-04-15 13:45:00,5.431500000000023,2020-04-15 13:45:00,"('9050CE', '9050PE')",234.75,9073.1,True,False,2020-04-15 14:10:00,-12.5975,2020-04-15 14:10:00,"('8950CE', '8950PE')",228.35000000000002,8936.6,True,False,2020-04-16 09:19:00,56.91650000000001,2020-04-16 09:19:00,"('8850CE', '8850PE')",146.0,8846.6,True,False,2020-04-16 09:40:00,-29.71,2020-04-16 09:40:00,"('8950CE', '8950PE')",156.3,8944.95,True,False,2020-04-16 10:00:00,11.73700000000001,2020-04-16 10:00:00,"('8850CE', '8850PE')",134.8,8886.0,True,False,2020-04-16 10:15:00,-21.997999999999976,,,,,False,False,,,,,,,False,False,,,,,,,False,False,,
SRE_W_Range,NIFTY,09:20:00,15:29:00,BUY,50.0,100.0,0.0,fixed,cut,2020-04-13,2020-04-16,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4,2020-04-13 09:20:00,"('9000CE', '9000PE')",428.4,9047.4,True,False,2020-04-15 09:53:00,103.11599999999997,2020-04-15 15:25:00,"('8900CE', '8900PE')",210.9,8936.05,True,False,2020-04-16 12:11:00,62.341000000000015,,,,,False,False,,,,,,,False,False,,,,,,,False,False,,,,,,,False,False,,,,,,,False,False,,,,,,,False,False,,,,,,,False,False,,,,,,,False,False,,
