P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_sl,P_intraSL,P_OM,P_FixedOrDynamic,P_NormalOrCut,Start.Date,End.Date,dte1,dte2,dte3,dte4,dte5,Start.DTE,End.DTE,Day.Count,ST0.CE_Scrip,ST0.PE_Scrip,ST0.Future,ST0.Current_dt,ST0.Price,ST0.Hit_Time,ST0.PNL,ST0.SL_Range,ST0.Intra_SL_Range,ST1.CE_Scrip,ST1.PE_Scrip,ST1.Future,ST1.Current_dt,ST1.Price,ST1.Hit_Time,ST1.PNL,ST1.SL_Range,ST1.Intra_SL_Range,ST2.CE_Scrip,ST2.PE_Scrip,ST2.Future,ST2.Current_dt,ST2.Price,ST2.Hit_Time,ST2.PNL,ST2.SL_Range,ST2.Intra_SL_Range,ST3.CE_Scrip,ST3.PE_Scrip,ST3.Future,ST3.Current_dt,ST3.Price,ST3.Hit_Time,ST3.PNL,ST3.SL_Range,ST3.Intra_SL_Range,ST4.CE_Scrip,ST4.PE_Scrip,ST4.Future,ST4.Current_dt,ST4.Price,ST4.Hit_Time,ST4.PNL,ST4.SL_Range,ST4.Intra_SL_Range,ST5.CE_Scrip,ST5.PE_Scrip,ST5.Future,ST5.Current_dt,ST5.Price,ST5.Hit_Time,ST5.PNL,ST5.SL_Range,ST5.Intra_SL_Range,ST6.CE_Scrip,ST6.PE_Scrip,ST6.Future,ST6.Current_dt,ST6.Price,ST6.Hit_Time,ST6.PNL,ST6.SL_Range,ST6.Intra_SL_Range,ST7.CE_Scrip,ST7.PE_Scrip,ST7.Future,ST7.Current_dt,ST7.Price,ST7.Hit_Time,ST7.PNL,ST7.SL_Range,ST7.Intra_SL_Range,ST8.CE_Scrip,ST8.PE_Scrip,ST8.Future,ST8.Current_dt,ST8.Price,ST8.Hit_Time,ST8.PNL,ST8.SL_Range,ST8.Intra_SL_Range,ST9.CE_Scrip,ST9.PE_Scrip,ST9.Future,ST9.Current_dt,ST9.Price,ST9.Hit_Time,ST9.PNL,ST9.SL_Range,ST9.Intra_SL_Range
SRE_W_Range,NIFTY,09:16:00,15:25:00,BUY,10,20,0.0,,normal,2024-06-05,2024-06-06,0,0,0,0,0,0,0,2,22050CE,22050PE,22150.65,2024-06-05 09:16:00,,2024-06-05 15:07:00,-49.63499999999999,"(21504, 22595)","(21454, 22645)",22600CE,22600PE,22670.9,2024-06-05 15:00:00,,,132.05,"(22213, 22986)","(22178, 23021)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE_W_Range,NIFTY,09:16:00,15:25:00,BUY,10,20,0.0,,normal,2024-06-07,2024-06-13,0,0,0,0,0,0,0,7,22850CE,22850PE,22864.45,2024-06-07 09:16:00,,2024-06-10 09:15:00,-44.485000000000014,"(22360, 23339)","(22316, 23383)",23250CE,23250PE,23283.3,2024-06-10 15:00:00,,,195.89999999999998,"(22872, 23627)","(22838, 23661)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE_W_Range,NIFTY,09:16:00,15:25:00,BUY,10,20,0.0,,normal,2024-06-14,2024-06-20,0,0,0,0,0,0,0,7,23400CE,23400PE,23423.5,2024-06-14 09:16:00,,,99.45000000000002,"(23108, 23691)","(23082, 23717)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE_W_Range,NIFTY,09:16:00,15:25:00,BUY,10,20,0.0,,normal,2024-06-21,2024-06-27,0,0,0,0,0,0,0,7,23600CE,23600PE,23598.85,2024-06-21 09:16:00,,2024-06-27 09:57:00,-27.819999999999993,"(23293, 23906)","(23266, 23933)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE_W_Range,NIFTY,09:16:00,15:25:00,BUY,10,20,0.0,,normal,2024-06-28,2024-07-04,0,0,0,0,0,0,0,7,24100CE,24100PE,24180.4,2024-06-28 09:16:00,,,130.85,"(23736, 24463)","(23703, 24496)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE_W_Range,NIFTY,09:16:00,15:25:00,BUY,10,20,0.0,,normal,2024-07-05,2024-07-05,0,0,0,0,0,0,0,1,24250CE,24250PE,24300.9,2024-07-05 09:16:00,,,4.300000000000011,"(23956, 24543)","(23929, 24570)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
