P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_Method,P_SL,P_ReSL,P_OM,Start.Date,End.Date,Start.DTE,End.DTE,DayCount,EntryTime,Future,CE.Strike,CE.Price,CE.SL.Price,CE0.SL.Flag,CE0.SL.Time,CE0.PNL,CE1.Decay.Flag,CE1.Decay.Time,CE1.SL.Flag,CE1.SL.Time,CE1.PNL,CE2.Decay.Flag,CE2.Decay.Time,CE2.SL.Flag,CE2.SL.Time,CE2.PNL,CE3.Decay.Flag,CE3.Decay.Time,CE3.SL.Flag,CE3.SL.Time,CE3.PNL,CE4.Decay.Flag,CE4.Decay.Time,CE4.SL.Flag,CE4.SL.Time,CE4.PNL,CE5.Decay.Flag,CE5.Decay.Time,CE5.SL.Flag,CE5.SL.Time,CE5.PNL,CE6.Decay.Flag,CE6.Decay.Time,CE6.SL.Flag,CE6.SL.Time,CE6.PNL,CE7.Decay.Flag,CE7.Decay.Time,CE7.SL.Flag,CE7.SL.Time,CE7.PNL,CE8.Decay.Flag,CE8.Decay.Time,CE8.SL.Flag,CE8.SL.Time,CE8.PNL,CE9.Decay.Flag,CE9.Decay.Time,CE9.SL.Flag,CE9.SL.Time,CE9.PNL,CE10.Decay.Flag,CE10.Decay.Time,CE10.SL.Flag,CE10.SL.Time,CE10.PNL,PE.Strike,PE.Price,PE.SL.Price,PE0.SL.Flag,PE0.SL.Time,PE0.PNL,PE1.Decay.Flag,PE1.Decay.Time,PE1.SL.Flag,PE1.SL.Time,PE1.PNL,PE2.Decay.Flag,PE2.Decay.Time,PE2.SL.Flag,PE2.SL.Time,PE2.PNL,PE3.Decay.Flag,PE3.Decay.Time,PE3.SL.Flag,PE3.SL.Time,PE3.PNL,PE4.Decay.Flag,PE4.Decay.Time,PE4.SL.Flag,PE4.SL.Time,PE4.PNL,PE5.Decay.Flag,PE5.Decay.Time,PE5.SL.Flag,PE5.SL.Time,PE5.PNL,PE6.Decay.Flag,PE6.Decay.Time,PE6.SL.Flag,PE6.SL.Time,PE6.PNL,PE7.Decay.Flag,PE7.Decay.Time,PE7.SL.Flag,PE7.SL.Time,PE7.PNL,PE8.Decay.Flag,PE8.Decay.Time,PE8.SL.Flag,PE8.SL.Time,PE8.PNL,PE9.Decay.Flag,PE9.Decay.Time,PE9.SL.Flag,PE9.SL.Time,PE9.PNL,PE10.Decay.Flag,PE10.Decay.Time,PE10.SL.Flag,PE10.SL.Time,PE10.PNL
NREW,NIFTY,09:20:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-05-15,2024-05-16,2,1,2.0,2024-05-15 09:20:00,22338.05,22250CE,95.8,182.01999999999998,False,,-60.45800000000001,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,22250PE,87.25,165.775,True,2024-05-15 10:30:00,-79.39750000000001,True,2024-05-15 11:03:00,True,2024-05-16 11:18:00,-79.39750000000001,True,2024-05-16 12:09:00,True,2024-05-16 13:05:00,-79.39750000000001,True,2024-05-16 14:33:00,False,,86.3275,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:20:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-05-14,2024-05-16,3,1,3.0,2024-05-14 09:20:00,22223.2,22150CE,117.3,222.86999999999998,True,2024-05-16 14:58:00,-106.74299999999998,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,22150PE,117.5,223.25,False,,116.275,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:20:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-05-13,2024-05-16,4,1,4.0,2024-05-13 09:20:00,22055.0,22000CE,140.3,266.57,True,2024-05-14 12:54:00,-127.67299999999999,True,2024-05-16 10:49:00,True,2024-05-16 12:14:00,-127.67299999999999,True,2024-05-16 12:59:00,True,2024-05-16 14:45:00,-127.67299999999999,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,22000PE,163.45,310.55499999999995,False,,161.76549999999997,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:20:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-05-10,2024-05-16,5,1,5.0,2024-05-10 09:20:00,22074.5,22000CE,179.4,340.86,True,2024-05-16 14:53:00,-163.25400000000002,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,22000PE,167.45,318.155,False,,165.72549999999998,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:20:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-05-23,2024-05-23,1,1,1.0,2024-05-23 09:20:00,22666.7,22600CE,70.65,134.235,True,2024-05-23 09:42:00,-64.29150000000001,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,22600PE,61.9,117.60999999999999,False,,61.231,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:20:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-05-22,2024-05-23,2,1,2.0,2024-05-22 09:20:00,22615.7,22550CE,92.0,174.79999999999998,True,2024-05-23 09:42:00,-83.71999999999998,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,22550PE,97.0,184.29999999999998,False,,95.98,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:20:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-05-21,2024-05-23,3,1,3.0,2024-05-21 09:20:00,22548.0,22500CE,123.2,234.07999999999998,True,2024-05-23 10:20:00,-112.11199999999998,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,22500PE,121.8,231.42,False,,120.532,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:20:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-05-17,2024-05-23,4,1,4.0,2024-05-17 09:20:00,22446.85,22400CE,158.5,301.15,True,2024-05-23 09:41:00,-144.23499999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,22400PE,153.6,291.84,False,,152.01399999999998,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:20:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-05-17,2024-05-23,5,1,4.0,2024-05-17 09:20:00,22446.85,22400CE,158.5,301.15,True,2024-05-23 09:41:00,-144.23499999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,22400PE,153.6,291.84,False,,152.01399999999998,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:20:00,15:25:00,SELL,HL,90.0,90.0,0.0,2024-05-30,2024-05-30,1,1,1.0,2024-05-30 09:20:00,22689.0,22700CE,80.4,152.76,False,,79.49600000000001,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,22700PE,91.75,174.325,True,2024-05-30 10:14:00,-83.49249999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
