P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_Method,P_SL,P_ReSL,P_OM,Start.Date,End.Date,Start.DTE,End.DTE,DayCount,EntryTime,Future,CE.Strike,CE.Price,CE.SL.Price,CE0.SL.Flag,CE0.SL.Time,CE0.PNL,CE1.Decay.Flag,CE1.Decay.Time,CE1.SL.Flag,CE1.SL.Time,CE1.PNL,CE2.Decay.Flag,CE2.Decay.Time,CE2.SL.Flag,CE2.SL.Time,CE2.PNL,CE3.Decay.Flag,CE3.Decay.Time,CE3.SL.Flag,CE3.SL.Time,CE3.PNL,CE4.Decay.Flag,CE4.Decay.Time,CE4.SL.Flag,CE4.SL.Time,CE4.PNL,CE5.Decay.Flag,CE5.Decay.Time,CE5.SL.Flag,CE5.SL.Time,CE5.PNL,CE6.Decay.Flag,CE6.Decay.Time,CE6.SL.Flag,CE6.SL.Time,CE6.PNL,CE7.Decay.Flag,CE7.Decay.Time,CE7.SL.Flag,CE7.SL.Time,CE7.PNL,PE.Strike,PE.Price,PE.SL.Price,PE0.SL.Flag,PE0.SL.Time,PE0.PNL,PE1.Decay.Flag,PE1.Decay.Time,PE1.SL.Flag,PE1.SL.Time,PE1.PNL,PE2.Decay.Flag,PE2.Decay.Time,PE2.SL.Flag,PE2.SL.Time,PE2.PNL,PE3.Decay.Flag,PE3.Decay.Time,PE3.SL.Flag,PE3.SL.Time,PE3.PNL,PE4.Decay.Flag,PE4.Decay.Time,PE4.SL.Flag,PE4.SL.Time,PE4.PNL,PE5.Decay.Flag,PE5.Decay.Time,PE5.SL.Flag,PE5.SL.Time,PE5.PNL,PE6.Decay.Flag,PE6.Decay.Time,PE6.SL.Flag,PE6.SL.Time,PE6.PNL,PE7.Decay.Flag,PE7.Decay.Time,PE7.SL.Flag,PE7.SL.Time,PE7.PNL
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-05,2024-01-11,7,1,7,2024-01-05 09:25:00,21791.25,21800CE,84.45,160.45499999999998,False,,83.55550000000001,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21650PE,84.15,159.885,True,2024-01-08 11:59:00,-76.57649999999998,True,2024-01-09 09:15:00,True,2024-01-10 09:15:00,-76.57649999999998,True,2024-01-10 14:54:00,False,,79.55850000000001,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-08,2024-01-11,4,1,4,2024-01-08 09:25:00,21809.0,21750CE,105.1,199.68999999999997,False,,103.999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21750PE,100.8,191.51999999999998,True,2024-01-08 11:07:00,-91.72799999999998,True,2024-01-09 10:43:00,True,2024-01-09 14:27:00,-91.72799999999998,True,2024-01-10 15:04:00,False,,-4.008,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-09,2024-01-11,3,1,3,2024-01-09 09:25:00,21735.0,21650CE,103.4,196.46,False,,100.816,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21700PE,94.2,178.98,True,2024-01-09 14:42:00,-85.72199999999998,True,2024-01-10 14:58:00,False,,39.258,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-10,2024-01-11,2,1,2,2024-01-10 09:25:00,21582.45,21500CE,91.55,173.945,True,2024-01-10 15:00:00,-83.31049999999999,True,2024-01-11 14:18:00,False,,-55.2155,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21550PE,94.8,180.11999999999998,False,,93.802,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-11,2024-01-11,1,1,1,2024-01-11 09:25:00,21746.85,21600CE,114.95,218.405,False,,67.95049999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21800PE,104.65,198.835,True,2024-01-11 14:14:00,-95.2315,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-12,2024-01-18,7,1,7,2024-01-12 09:25:00,21764.0,21800CE,102.05,193.89499999999998,True,2024-01-12 12:55:00,-92.86549999999998,True,2024-01-17 09:15:00,False,,100.9795,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21700PE,106.0,201.39999999999998,True,2024-01-18 09:15:00,-96.45999999999998,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-15,2024-01-18,4,1,4,2024-01-15 09:25:00,22092.4,22150CE,88.0,167.2,False,,87.07000000000001,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,22000PE,92.75,176.225,True,2024-01-17 09:15:00,-84.40249999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-16,2024-01-18,3,1,3,2024-01-16 09:25:00,22065.3,22050CE,106.95,203.20499999999998,False,,105.8305,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,22050PE,104.8,199.11999999999998,True,2024-01-17 09:15:00,-95.36799999999998,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-17,2024-01-18,2,1,2,2024-01-17 09:25:00,21784.4,21800CE,90.05,171.095,False,,89.0995,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21800PE,98.9,187.91,True,2024-01-17 12:03:00,-89.999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-18,2024-01-18,1,1,1,2024-01-18 09:25:00,21471.85,21400CE,77.0,146.29999999999998,False,,14.129999999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21500PE,91.9,174.61,True,2024-01-18 09:51:00,-83.629,True,2024-01-18 10:10:00,False,,53.33100000000001,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-19,2024-01-25,7,1,7,2024-01-19 09:25:00,21661.45,21850CE,81.4,154.66,False,,80.536,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21500PE,88.95,169.005,True,2024-01-23 12:02:00,-80.94449999999999,True,2024-01-24 14:59:00,True,2024-01-25 10:16:00,-80.94449999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-20,2024-01-25,6,1,6,2024-01-20 09:25:00,21722.55,21800CE,99.95,189.905,False,,98.85050000000001,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21650PE,99.85,189.71499999999997,True,2024-01-23 11:31:00,-90.86349999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-23,2024-01-25,3,1,3,2024-01-23 09:25:00,21749.15,21750CE,107.25,203.77499999999998,False,,106.1275,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21750PE,103.05,195.795,True,2024-01-23 10:38:00,-93.7755,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-24,2024-01-25,2,1,2,2024-01-24 09:25:00,21226.55,21300CE,89.65,170.335,True,2024-01-24 09:57:00,-81.5815,True,2024-01-24 11:31:00,True,2024-01-24 14:35:00,-81.5815,True,2024-01-25 10:16:00,False,,42.7535,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21150PE,89.5,170.04999999999998,False,,88.50500000000001,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-25,2024-01-25,1,1,1,2024-01-25 09:25:00,21390.15,21350CE,93.55,177.74499999999998,False,,92.36449999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21450PE,103.95,197.505,True,2024-01-25 10:55:00,-94.5945,True,2024-01-25 11:40:00,False,,-0.5894999999999972,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-29,2024-02-01,4,1,4,2024-01-29 09:25:00,21700.1,21850CE,91.8,174.42,False,,90.832,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21350PE,85.65,162.735,False,,84.74350000000001,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-30,2024-02-01,3,1,3,2024-01-30 09:25:00,21841.4,21950CE,97.6,185.43999999999997,False,,96.574,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21550PE,101.9,193.61,False,,100.831,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-01-31,2024-02-01,2,1,2,2024-01-31 09:25:00,21619.95,21650CE,93.65,177.935,True,2024-01-31 11:31:00,-85.22149999999999,True,2024-02-01 12:02:00,False,,44.6135,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21400PE,99.7,189.43,False,,98.653,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-02-01,2024-02-01,1,1,1,2024-02-01 09:25:00,21794.55,21750CE,92.0,174.79999999999998,False,,91.03,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21650PE,85.35,162.165,False,,84.4465,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-02-02,2024-02-08,7,1,7,2024-02-02 09:25:00,22016.7,22100CE,100.75,191.42499999999998,True,2024-02-02 11:40:00,-91.68249999999998,True,2024-02-02 12:30:00,False,,99.69250000000001,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21800PE,93.85,178.31499999999997,True,2024-02-05 14:43:00,-85.40349999999998,True,2024-02-06 11:34:00,False,,11.361499999999998,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,90.0,90.0,0.4,2024-02-05,2024-02-08,4,1,4,2024-02-05 09:25:00,21966.5,22050CE,92.6,175.93999999999997,False,,91.624,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21750PE,95.2,180.88,True,2024-02-05 14:45:00,-86.63199999999999,True,2024-02-06 10:02:00,False,,62.798,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
