P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_SL,P_IntraSL,P_OM,Date,day,dte,EntryTime,Future,CE.Price,PE.Price,SL,IntraSL,STD0.Scrip,STD0.Open,STD0.SL.Flag,STD0.SL.Time,STD0.INTRA_SL.Flag,STD0.INTRA_SL.Time,STD0.PNL,STD1.Scrip,STD1.Open,STD1.SL.Flag,STD1.SL.Time,STD1.INTRA_SL.Flag,STD1.INTRA_SL.Time,STD1.PNL,STD2.Scrip,STD2.Open,STD2.SL.Flag,STD2.SL.Time,STD2.INTRA_SL.Flag,STD2.INTRA_SL.Time,STD2.PNL,STD3.Scrip,STD3.Open,STD3.SL.Flag,STD3.SL.Time,STD3.INTRA_SL.Flag,STD3.INTRA_SL.Time,STD3.PNL,STD4.Scrip,STD4.Open,STD4.SL.Flag,STD4.SL.Time,STD4.INTRA_SL.Flag,STD4.INTRA_SL.Time,STD4.PNL,STD5.Scrip,STD5.Open,STD5.SL.Flag,STD5.SL.Time,STD5.INTRA_SL.Flag,STD5.INTRA_SL.Time,STD5.PNL,STD6.Scrip,STD6.Open,STD6.SL.Flag,STD6.SL.Time,STD6.INTRA_SL.Flag,STD6.INTRA_SL.Time,STD6.PNL,STD7.Scrip,STD7.Open,STD7.SL.Flag,STD7.SL.Time,STD7.INTRA_SL.Flag,STD7.INTRA_SL.Time,STD7.PNL,STD8.Scrip,STD8.Open
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-06,Friday,7,09:16:00,18209.9,54.75,57.0,107.28,96.105,"('18400CE', '17900PE')",111.75,True,2017-01-06 14:31:00,False,,-7.2,"('18500CE', '18000PE')",96.7,True,2017-01-06 14:45:00,False,,-5.61,"('18500CE', '18000PE')",92.3,False,,False,,-4.1,,,False,,False,,0.0,,,False,,False,,0.0,,,False,,False,,0.0,,,False,,False,,0.0,,,False,,False,,0.0,,
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-09,Monday,4,09:16:00,18309.2,69.85,46.0,111.216,99.631,"('18400CE', '18000PE')",115.85,True,2017-01-09 09:19:00,False,,-7.9,"('18400CE', '18100PE')",133.6,True,2017-01-09 09:44:00,False,,-7.77,"('18500CE', '18100PE')",95.95,True,2017-01-09 11:03:00,False,,-5.15,"('18500CE', '18100PE')",92.0,True,2017-01-09 13:23:00,False,,-5.1,"('18400CE', '18100PE')",116.25,True,2017-01-09 14:40:00,False,,-6.1,"('18400CE', '18100PE')",111.6,False,,False,,1.71,,,False,,False,,0.0,,,False,,False,,0.0,,
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-10,Tuesday,3,09:16:00,18387.0,49.0,50.6,95.61599999999999,85.65599999999999,"('18500CE', '18200PE')",99.6,True,2017-01-10 09:18:00,False,,-6.14,"('18500CE', '18200PE')",94.7,True,2017-01-10 09:24:00,False,,-5.98,"('18500CE', '18300PE')",115.95,True,2017-01-10 12:33:00,False,,-8.4,"('18400CE', '18200PE')",109.25,True,2017-01-10 14:27:00,False,,-5.92,"('18400CE', '18200PE')",104.7,False,,False,,3.14,,,False,,False,,0.0,,,False,,False,,0.0,,,False,,False,,0.0,,
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-11,Wednesday,2,09:16:00,18539.6,69.2,33.7,98.784,88.494,"('18500CE', '18400PE')",102.9,False,,False,,189.26,,,False,,False,,0.0,,,False,,False,,0.0,,,False,,False,,0.0,,,False,,False,,0.0,,,False,,False,,0.0,,,False,,False,,0.0,,,False,,False,,0.0,,
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-12,Thursday,1,09:16:00,18873.15,72.85,31.8,100.46399999999998,89.999,"('18800CE', '18800PE')",104.64999999999999,True,2017-01-12 09:58:00,False,,-8.51,"('18800CE', '18800PE')",97.44999999999999,True,2017-01-12 10:09:00,False,,-7.97,"('18800CE', '18800PE')",90.7,True,2017-01-12 10:11:00,False,,-6.38,"('18900CE', '18900PE')",110.10000000000001,True,2017-01-12 10:13:00,False,,-6.43,"('18900CE', '18900PE')",105.05,True,2017-01-12 10:19:00,False,,-7.76,"('18800CE', '18800PE')",90.7,True,2017-01-12 11:07:00,False,,-6.58,"('18800CE', '18900PE')",132.14999999999998,True,2017-01-12 12:02:00,False,,-8.35,"('18800CE', '18900PE')",125.44999999999999,True,2017-01-12 12:47:00,False,,-7.02,"('18800CE', '18900PE')",120.0
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-13,Friday,7,09:16:00,18937.95,53.4,48.8,98.11199999999998,87.892,"('19200CE', '18600PE')",102.19999999999999,True,2017-01-13 09:17:00,False,,-7.13,"('19200CE', '18600PE')",96.35,True,2017-01-13 09:50:00,False,,-6.05,"('19100CE', '18600PE')",111.80000000000001,True,2017-01-13 09:56:00,False,,-6.3,"('19000CE', '18600PE')",131.15,True,2017-01-13 10:13:00,False,,-7.44,"('19000CE', '18600PE')",125.35,False,,False,,3.38,,,False,,False,,0.0,,,False,,False,,0.0,,,False,,False,,0.0,,
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-16,Monday,4,09:16:00,18898.0,70.85,46.05,112.22399999999999,100.53399999999999,"('19000CE', '18600PE')",116.89999999999999,False,,False,,77.84,,,False,,False,,0.0,,,False,,False,,0.0,,,False,,False,,0.0,,,False,,False,,0.0,,,False,,False,,0.0,,,False,,False,,0.0,,,False,,False,,0.0,,
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-17,Tuesday,3,09:16:00,19167.0,53.05,59.65,108.19199999999998,96.92199999999998,"('19300CE', '19000PE')",112.69999999999999,True,2017-01-17 10:17:00,False,,-6.01,"('19300CE', '19000PE')",108.1,True,2017-01-17 13:02:00,False,,-8.7,"('19200CE', '18900PE')",95.35,True,2017-01-17 14:36:00,False,,-5.29,"('19200CE', '18900PE')",91.25,False,,False,,2.96,,,False,,False,,0.0,,,False,,False,,0.0,,,False,,False,,0.0,,,False,,False,,0.0,,
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-18,Wednesday,2,09:16:00,19169.95,66.65,68.0,129.264,115.799,"('19200CE', '19100PE')",134.65,False,,True,2017-01-18 12:10:00,-20.53,"('19300CE', '19200PE')",113.75,True,2017-01-18 13:21:00,False,,-6.67,"('19200CE', '19100PE')",104.8,True,2017-01-18 13:58:00,False,,-5.56,"('19200CE', '19100PE')",100.55,True,2017-01-18 14:29:00,False,,-6.01,"('19200CE', '19100PE')",95.80000000000001,True,2017-01-18 15:24:00,False,,-5.5,"('19200CE', '19200PE')",131.5,False,,False,,-2.14,,,False,,False,,0.0,,,False,,False,,0.0,,
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-19,Thursday,1,09:16:00,19145.25,70.05,44.4,109.87199999999999,98.42699999999999,"('19100CE', '19100PE')",114.44999999999999,True,2017-01-19 09:17:00,False,,-10.88,"('19100CE', '19100PE')",105.0,True,2017-01-19 09:33:00,False,,-8.16,"('19100CE', '19100PE')",98.15,True,2017-01-19 09:56:00,False,,-5.68,"('19100CE', '19100PE')",93.69999999999999,True,2017-01-19 10:13:00,False,,-5.97,"('19000CE', '19000PE')",105.95,True,2017-01-19 14:26:00,False,,-8.32,"('19100CE', '19200PE')",108.95,True,2017-01-19 14:31:00,False,,-8.01,"('19100CE', '19200PE')",102.3,True,2017-01-19 14:36:00,False,,-7.28,"('19100CE', '19200PE')",96.3,True,2017-01-19 14:46:00,False,,-5.15,"('19100CE', '19200PE')",92.35
