date_time,index,scrip,open,high,low,close,volume,openinterest,expiry_date,dte,date_time
2022-01-06 09:15:00,NIFTY,16350PE,0.75,0.85,0.05,0.05,1050,67850,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,19400CE,0.05,0.05,0.05,0.05,50,43500,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,19200CE,0.1,0.1,0.1,0.1,50,32800,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,19100CE,0.15,0.15,0.15,0.15,1600,42750,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,19600CE,0.2,0.2,0.15,0.15,1550,190300,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,19500CE,0.15,0.25,0.15,0.2,14650,338200,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18850CE,0.35,0.35,0.25,0.25,1900,52350,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,19300CE,0.25,0.25,0.25,0.25,500,34250,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18800CE,0.35,0.55,0.3,0.3,30850,229400,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18900CE,0.45,0.45,0.15,0.3,18500,127400,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18950CE,0.5,0.5,0.3,0.3,2050,28050,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,19000CE,0.35,0.6,0.2,0.3,64700,849600,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,19050CE,0.2,0.3,0.2,0.3,250,45300,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,15500PE,0.8,0.8,0.35,0.35,33750,986300,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18750CE,0.4,0.45,0.3,0.35,13600,121200,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,15900PE,2.2,2.2,0.1,0.4,600,113700,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,16000PE,0.5,0.8,0.4,0.4,18000,1193500,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,16200PE,0.8,0.9,0.35,0.45,9000,477950,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,15100PE,0.8,0.8,0.3,0.5,18300,1829450,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,15800PE,0.55,0.55,0.5,0.5,150,281550,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,16100PE,1.0,1.0,0.35,0.5,2350,182250,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,16300PE,0.95,0.95,0.35,0.5,4950,377950,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,15700PE,2.7,2.7,0.5,0.55,1450,234750,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18700CE,0.2,1.6,0.2,0.55,34400,198900,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,16500PE,0.5,0.85,0.5,0.6,67800,2134500,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,15150PE,0.8,0.85,0.1,0.65,1400,26750,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,15200PE,0.65,0.65,0.35,0.65,1500,157050,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,15300PE,0.35,0.65,0.35,0.65,100,50300,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,15750PE,0.65,0.65,0.65,0.65,200,31300,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,16400PE,0.45,0.7,0.3,0.65,55150,654550,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18550CE,0.45,0.9,0.45,0.65,6050,108350,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18600CE,0.45,0.8,0.45,0.65,30450,278700,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18650CE,0.35,0.7,0.35,0.65,6450,86000,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,15850PE,2.9,2.9,0.4,0.7,200,102200,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,16550PE,0.15,8.15,0.15,0.7,900,66000,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,16600PE,0.2,1.5,0.2,0.7,78950,499650,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,15600PE,1.05,1.55,0.75,0.75,1250,274550,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,16650PE,0.9,0.9,0.65,0.75,2850,156800,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18500CE,0.5,1.1,0.45,0.75,508550,2949950,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,16700PE,0.65,1.35,0.55,0.8,75650,727550,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,16850PE,0.3,1.05,0.3,0.8,5650,156400,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18400CE,0.95,0.95,0.6,0.8,85350,1064400,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18450CE,0.35,1.2,0.3,0.8,7300,118050,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,16450PE,0.7,0.85,0.7,0.85,400,67100,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18350CE,0.7,0.95,0.6,0.85,21900,282250,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,16250PE,1.0,1.0,0.9,0.9,1900,48950,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,16750PE,1.15,1.3,0.15,0.9,5050,135250,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18250CE,0.9,1.35,0.75,0.9,113200,836400,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18300CE,1.1,1.2,0.75,0.9,243100,2744750,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,16800PE,1.0,1.0,0.6,0.95,84700,1654150,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,16900PE,1.0,1.25,0.9,1.0,146600,1556400,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18200CE,1.0,1.75,0.9,1.0,955050,5628650,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,16950PE,1.55,1.55,0.25,1.05,6500,251750,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,17000PE,1.45,1.5,0.95,1.15,531250,5677100,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18150CE,1.55,1.9,1.0,1.15,433250,1879000,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,15950PE,1.25,1.25,1.25,1.25,50,10400,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,17050PE,1.75,1.8,1.0,1.3,14750,253450,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18100CE,2.25,2.25,1.15,1.3,1315050,6018350,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,17100PE,1.75,1.8,0.65,1.45,216150,2062150,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18050CE,5.0,5.0,1.3,1.45,964150,2741850,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,17150PE,1.2,2.3,1.15,1.75,37950,369350,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,17200PE,2.15,2.4,1.6,2.0,463550,5009250,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,18000CE,8.9,9.0,1.85,2.0,2643050,7033500,2022-01-06,0,2022-01-06 09:15:00
2022-01-06 09:15:00,NIFTY,17250PE,2.25,2.95,1.8,2.35,99650,782250,2022-01-06,0,2022-01-06 09:15:00
