entry_time,ce_scrip,pe_scrip,entry_price,exit_time,exit_price,pnl,exit_reason,file_id
2024-01-01 09:20:00,22000CE,21400PE,55.4,2024-01-01 14:11:00,59.832,-4.432000000000002,SL Hit,0
2024-01-01 14:11:00,22000CE,21400PE,61.7,2024-01-01 14:42:00,66.63600000000001,-4.936000000000007,SL Hit,0
2024-01-01 14:42:00,22000CE,21400PE,66.85,2024-01-01 14:44:00,72.198,-5.347999999999999,SL Hit,0
2024-01-01 14:44:00,22000CE,21400PE,73.1,2024-01-01 14:49:00,78.948,-5.847999999999999,SL Hit,0
2024-01-01 14:49:00,22000CE,21400PE,82.0,2024-01-01 15:25:00,36.7,45.3,Time Exit,0
2024-01-02 09:20:00,22000CE,21500PE,45.400000000000006,2024-01-02 09:58:00,49.03200000000001,-3.632000000000005,SL Hit,1
2024-01-02 09:58:00,22000CE,21500PE,50.849999999999994,2024-01-02 10:24:00,54.918,-4.068000000000005,SL Hit,1
2024-01-02 10:24:00,22000CE,21500PE,57.699999999999996,2024-01-02 10:36:00,69.24,-11.54,Intra SL Hit,1
2024-01-03 09:20:00,21750CE,21450PE,57.349999999999994,2024-01-03 15:25:00,34.85,22.499999999999993,Time Exit,2
2024-01-04 09:20:00,21600CE,21550PE,58.9,2024-01-04 12:23:00,63.612,-4.712000000000003,SL Hit,3
2024-01-04 12:23:00,21600CE,21550PE,63.75,2024-01-04 15:25:00,57.4,6.350000000000001,Time Exit,3
2024-01-05 09:20:00,22050CE,21400PE,45.25,2024-01-05 10:54:00,48.870000000000005,-3.6200000000000045,SL Hit,4
2024-01-05 10:54:00,22050CE,21400PE,50.3,2024-01-05 15:25:00,33.45,16.849999999999994,Time Exit,4
2024-01-08 09:20:00,21950CE,21450PE,48.150000000000006,2024-01-08 09:24:00,52.00200000000001,-3.852000000000004,SL Hit,5
2024-01-08 09:24:00,21950CE,21450PE,52.150000000000006,2024-01-08 11:07:00,56.32200000000001,-4.172000000000004,SL Hit,5
2024-01-08 11:07:00,21950CE,21450PE,60.25,2024-01-08 11:57:00,65.07000000000001,-4.820000000000007,SL Hit,5
2024-01-08 11:57:00,21950CE,21450PE,68.2,2024-01-08 14:38:00,73.656,-5.456000000000003,SL Hit,5
2024-01-08 14:38:00,21950CE,21450PE,75.3,2024-01-08 15:25:00,76.14999999999999,-0.8499999999999943,Time Exit,5
2024-01-09 09:20:00,21850CE,21500PE,53.95,2024-01-09 09:36:00,58.266000000000005,-4.3160000000000025,SL Hit,6
2024-01-09 09:36:00,21850CE,21500PE,58.6,2024-01-09 09:52:00,63.288000000000004,-4.688000000000002,SL Hit,6
2024-01-09 09:52:00,21850CE,21500PE,63.65,2024-01-09 14:28:00,68.742,-5.092000000000006,SL Hit,6
2024-01-09 14:28:00,21850CE,21500PE,72.0,2024-01-09 14:42:00,77.76,-5.760000000000005,SL Hit,6
2024-01-09 14:42:00,21850CE,21500PE,78.45,2024-01-09 15:25:00,63.9,14.550000000000004,Time Exit,6
2024-01-10 09:20:00,21700CE,21350PE,44.9,2024-01-10 09:28:00,53.879999999999995,-8.979999999999997,Intra SL Hit,7
2024-01-11 09:20:00,21750CE,21700PE,57.65,2024-01-11 09:33:00,62.262,-4.612000000000002,SL Hit,8
2024-01-11 09:33:00,21750CE,21700PE,62.3,2024-01-11 10:54:00,67.284,-4.984000000000009,SL Hit,8
2024-01-11 10:54:00,21750CE,21700PE,73.64999999999999,2024-01-11 14:11:00,88.37999999999998,-14.72999999999999,Intra SL Hit,8
2024-01-12 09:20:00,22050CE,21400PE,55.8,2024-01-12 10:04:00,60.264,-4.464000000000006,SL Hit,9
2024-01-12 10:04:00,22050CE,21400PE,60.3,2024-01-12 10:06:00,65.124,-4.823999999999998,SL Hit,9
2024-01-12 10:06:00,22050CE,21400PE,65.3,2024-01-12 10:09:00,70.524,-5.224000000000004,SL Hit,9
2024-01-12 10:09:00,22050CE,21400PE,73.4,2024-01-12 10:27:00,79.272,-5.872,SL Hit,9
2024-01-12 10:27:00,22050CE,21400PE,81.3,2024-01-12 12:55:00,87.804,-6.504000000000005,SL Hit,9
2024-01-12 12:55:00,22050CE,21400PE,92.85,2024-01-12 13:42:00,100.278,-7.4280000000000115,SL Hit,9
2024-01-12 13:42:00,22050CE,21400PE,102.25,2024-01-12 14:36:00,110.43,-8.180000000000007,SL Hit,9
2024-01-12 14:36:00,22050CE,21400PE,114.85000000000001,2024-01-12 15:25:00,94.9,19.950000000000003,Time Exit,9
2024-01-15 09:20:00,22350CE,21650PE,50.55,2024-01-15 15:25:00,41.75,8.799999999999997,Time Exit,10
2024-01-16 09:20:00,22250CE,21800PE,64.9,2024-01-16 09:53:00,70.09200000000001,-5.192000000000007,SL Hit,11
2024-01-16 09:53:00,22250CE,21800PE,71.0,2024-01-16 15:25:00,42.85,28.15,Time Exit,11
2024-01-17 09:20:00,22050CE,21550PE,47.45,2024-01-17 11:42:00,51.24600000000001,-3.7960000000000065,SL Hit,12
2024-01-17 11:42:00,22050CE,21550PE,51.45,2024-01-17 12:02:00,55.56600000000001,-4.116000000000007,SL Hit,12
2024-01-17 12:02:00,22050CE,21550PE,59.0,2024-01-17 12:05:00,70.8,-11.799999999999997,Intra SL Hit,12
2024-01-18 09:20:00,21550CE,21350PE,44.2,2024-01-18 09:36:00,53.04,-8.839999999999996,Intra SL Hit,13
2024-01-19 09:20:00,22150CE,21100PE,44.55,2024-01-19 15:25:00,37.15,7.399999999999999,Time Exit,14
2024-01-20 09:20:00,22050CE,21400PE,62.45,2024-01-20 09:30:00,67.44600000000001,-4.996000000000009,SL Hit,15
2024-01-20 09:30:00,22050CE,21400PE,72.1,2024-01-20 10:10:00,77.868,-5.768000000000001,SL Hit,15
2024-01-20 10:10:00,22050CE,21400PE,80.0,2024-01-20 15:25:00,71.75,8.25,Time Exit,15
2024-01-23 09:20:00,22000CE,21500PE,51.05,2024-01-23 09:58:00,55.134,-4.084000000000003,SL Hit,16
2024-01-23 09:58:00,22000CE,21500PE,56.75,2024-01-23 10:01:00,61.290000000000006,-4.540000000000006,SL Hit,16
2024-01-23 10:01:00,22000CE,21500PE,61.4,2024-01-23 10:21:00,66.312,-4.911999999999999,SL Hit,16
2024-01-23 10:21:00,22000CE,21500PE,67.0,2024-01-23 10:24:00,72.36,-5.359999999999999,SL Hit,16
2024-01-23 10:24:00,22000CE,21500PE,73.9,2024-01-23 10:27:00,79.81200000000001,-5.912000000000006,SL Hit,16
2024-01-23 10:27:00,22000CE,21500PE,79.85,2024-01-23 10:39:00,86.238,-6.388000000000005,SL Hit,16
2024-01-23 10:39:00,22000CE,21500PE,89.14999999999999,2024-01-23 10:40:00,96.282,-7.132000000000005,SL Hit,16
2024-01-23 10:40:00,22000CE,21500PE,98.25,2024-01-23 10:43:00,106.11000000000001,-7.860000000000014,SL Hit,16
2024-01-23 10:43:00,22000CE,21500PE,109.1,2024-01-23 11:32:00,117.828,-8.728000000000009,SL Hit,16
2024-01-23 11:32:00,22000CE,21500PE,122.15,2024-01-23 11:41:00,131.92200000000003,-9.77200000000002,SL Hit,16
2024-01-23 11:41:00,22000CE,21500PE,140.7,2024-01-23 11:45:00,151.956,-11.256,SL Hit,16
2024-01-23 11:45:00,22000CE,21500PE,154.25,2024-01-23 12:00:00,166.59,-12.340000000000003,SL Hit,16
2024-01-23 12:00:00,22000CE,21500PE,168.95000000000002,2024-01-23 12:03:00,182.46600000000004,-13.51600000000002,SL Hit,16
2024-01-23 12:03:00,22000CE,21500PE,184.39999999999998,2024-01-23 12:06:00,199.152,-14.75200000000001,SL Hit,16
2024-01-23 12:06:00,22000CE,21500PE,205.65,2024-01-23 13:10:00,222.10200000000003,-16.452000000000027,SL Hit,16
2024-01-23 13:10:00,22000CE,21500PE,231.5,2024-01-23 14:15:00,250.02,-18.52000000000001,SL Hit,16
2024-01-23 14:15:00,22000CE,21500PE,250.9,2024-01-23 14:21:00,270.97200000000004,-20.07200000000003,SL Hit,16
2024-01-23 14:21:00,22000CE,21500PE,278.0,2024-01-23 14:26:00,300.24,-22.24000000000001,SL Hit,16
2024-01-23 14:26:00,22000CE,21500PE,323.85,2024-01-23 15:02:00,349.75800000000004,-25.908000000000015,SL Hit,16
2024-01-23 15:02:00,22000CE,21500PE,363.85,2024-01-23 15:25:00,319.15000000000003,44.69999999999999,Time Exit,16
2024-01-24 09:20:00,21450CE,20850PE,53.1,2024-01-24 09:21:00,57.348000000000006,-4.248000000000005,SL Hit,17
2024-01-24 09:21:00,21450CE,20850PE,60.25,2024-01-24 09:22:00,65.07000000000001,-4.820000000000007,SL Hit,17
2024-01-24 09:22:00,21450CE,20850PE,66.65,2024-01-24 09:54:00,71.98200000000001,-5.332000000000008,SL Hit,17
2024-01-24 09:54:00,21450CE,20850PE,73.15,2024-01-24 09:55:00,79.00200000000001,-5.852000000000004,SL Hit,17
2024-01-24 09:55:00,21450CE,20850PE,79.10000000000001,2024-01-24 09:56:00,85.42800000000001,-6.328000000000003,SL Hit,17
2024-01-24 09:56:00,21450CE,20850PE,86.85,2024-01-24 09:58:00,104.21999999999998,-17.36999999999999,Intra SL Hit,17
2024-01-25 09:20:00,21500CE,21300PE,60.900000000000006,2024-01-25 09:24:00,65.772,-4.872,SL Hit,18
2024-01-25 09:24:00,21500CE,21300PE,67.45,2024-01-25 10:21:00,80.94,-13.489999999999995,Intra SL Hit,18
2024-01-29 09:20:00,22100CE,20950PE,51.45,2024-01-29 09:25:00,55.56600000000001,-4.116000000000007,SL Hit,19
2024-01-29 09:25:00,22100CE,20950PE,58.3,2024-01-29 09:41:00,62.964,-4.6640000000000015,SL Hit,19
2024-01-29 09:41:00,22100CE,20950PE,63.5,2024-01-29 12:58:00,68.58,-5.079999999999998,SL Hit,19
2024-01-29 12:58:00,22100CE,20950PE,69.25,2024-01-29 13:00:00,74.79,-5.540000000000006,SL Hit,19
2024-01-29 13:00:00,22100CE,20950PE,77.15,2024-01-29 15:25:00,66.95,10.200000000000003,Time Exit,19
2024-01-30 09:20:00,22300CE,21200PE,50.0,2024-01-30 09:25:00,54.0,-4.0,SL Hit,20
2024-01-30 09:25:00,22300CE,21200PE,55.25,2024-01-30 15:25:00,43.75,11.5,Time Exit,20
2024-01-31 09:20:00,21900CE,21000PE,49.45,2024-01-31 09:29:00,53.406000000000006,-3.956000000000003,SL Hit,21
2024-01-31 09:29:00,21900CE,21000PE,53.95,2024-01-31 11:05:00,58.266000000000005,-4.3160000000000025,SL Hit,21
2024-01-31 11:05:00,21900CE,21000PE,58.300000000000004,2024-01-31 11:08:00,62.964000000000006,-4.6640000000000015,SL Hit,21
2024-01-31 11:08:00,21900CE,21000PE,63.45,2024-01-31 11:30:00,68.52600000000001,-5.076000000000008,SL Hit,21
2024-01-31 11:30:00,21900CE,21000PE,69.9,2024-01-31 11:33:00,75.492,-5.591999999999999,SL Hit,21
2024-01-31 11:33:00,21900CE,21000PE,75.7,2024-01-31 15:25:00,73.25,2.450000000000003,Time Exit,21
2024-02-01 09:20:00,22050CE,21400PE,56.7,2024-02-01 15:25:00,0.1,56.6,Time Exit,22
2024-02-02 09:20:00,22450CE,21400PE,50.7,2024-02-02 11:30:00,54.75600000000001,-4.0560000000000045,SL Hit,23
2024-02-02 11:30:00,22450CE,21400PE,57.099999999999994,2024-02-02 11:37:00,61.668,-4.568000000000005,SL Hit,23
2024-02-02 11:37:00,22450CE,21400PE,63.05,2024-02-02 11:40:00,68.09400000000001,-5.044000000000011,SL Hit,23
2024-02-02 11:40:00,22450CE,21400PE,75.1,2024-02-02 15:25:00,38.85,36.24999999999999,Time Exit,23
2024-02-05 09:20:00,22300CE,21350PE,50.2,2024-02-05 09:26:00,54.21600000000001,-4.016000000000005,SL Hit,24
2024-02-05 09:26:00,22300CE,21350PE,58.1,2024-02-05 09:52:00,62.748000000000005,-4.648000000000003,SL Hit,24
2024-02-05 09:52:00,22300CE,21350PE,65.15,2024-02-05 15:25:00,41.5,23.650000000000006,Time Exit,24
2024-02-06 09:20:00,22100CE,21350PE,58.5,2024-02-06 09:49:00,63.18000000000001,-4.680000000000007,SL Hit,25
2024-02-06 09:49:00,22100CE,21350PE,64.15,2024-02-06 15:25:00,62.25,1.9000000000000057,Time Exit,25
2024-02-07 09:20:00,22250CE,21750PE,56.15,2024-02-07 11:40:00,60.642,-4.492000000000004,SL Hit,26
