,entry_time,exit_time,ce_price,pe_price,ce_hit_time,pe_hit_time,sl,utsl,ce_pnl,pe_pnl,total_pnl
trade_0,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 09:53:00,,20,30,-16.620000000000005,-29.05000000000001,-45.670000000000016
trade_1,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 09:53:00,,20,40,-16.620000000000005,-29.05000000000001,-45.670000000000016
trade_2,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 09:53:00,,20,50,-16.620000000000005,-29.05000000000001,-45.670000000000016
trade_3,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 14:01:00,,40,30,-33.24000000000001,-29.05000000000001,-62.29000000000002
trade_4,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 14:01:00,,40,40,-33.24000000000001,-29.05000000000001,-62.29000000000002
trade_5,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 14:01:00,,40,50,-33.24000000000001,-29.05000000000001,-62.29000000000002
trade_6,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 14:01:00,,40,30,-33.24000000000001,-29.05000000000001,-62.29000000000002
trade_7,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 14:01:00,,40,40,-33.24000000000001,-29.05000000000001,-62.29000000000002
trade_8,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 14:01:00,,40,50,-33.24000000000001,-29.05000000000001,-62.29000000000002
trade_9,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 09:51:00,,20,30,-15.920000000000002,-28.450000000000017,-44.37000000000002
trade_10,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 09:51:00,,20,40,-15.920000000000002,-28.450000000000017,-44.37000000000002
trade_11,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 09:51:00,,20,50,-15.920000000000002,-28.450000000000017,-44.37000000000002
trade_12,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 13:58:00,,40,30,-31.840000000000003,-28.450000000000017,-60.29000000000002
trade_13,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 13:58:00,,40,40,-31.840000000000003,-28.450000000000017,-60.29000000000002
trade_14,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 13:58:00,,40,50,-31.840000000000003,-28.450000000000017,-60.29000000000002
trade_15,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 13:58:00,,40,30,-31.840000000000003,-28.450000000000017,-60.29000000000002
trade_16,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 13:58:00,,40,40,-31.840000000000003,-28.450000000000017,-60.29000000000002
trade_17,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 13:58:00,,40,50,-31.840000000000003,-28.450000000000017,-60.29000000000002
trade_18,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 09:57:00,20,30,-26.900000000000002,-38.18000000000001,-65.08000000000001
trade_19,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 09:57:00,20,40,-26.900000000000002,-38.18000000000001,-65.08000000000001
trade_20,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 09:57:00,20,50,-26.900000000000002,-38.18000000000001,-65.08000000000001
trade_21,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 10:24:00,40,30,-26.900000000000002,-76.35999999999999,-103.25999999999999
trade_22,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 10:24:00,40,40,-26.900000000000002,-76.35999999999999,-103.25999999999999
trade_23,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 10:24:00,40,50,-26.900000000000002,-76.35999999999999,-103.25999999999999
trade_24,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 10:24:00,40,30,-26.900000000000002,-76.35999999999999,-103.25999999999999
trade_25,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 10:24:00,40,40,-26.900000000000002,-76.35999999999999,-103.25999999999999
trade_26,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 10:24:00,40,50,-26.900000000000002,-76.35999999999999,-103.25999999999999
trade_27,2024-01-02 09:40:00,2024-01-02 15:25:00,41.95,180.0,,2024-01-02 09:56:00,20,30,-28.150000000000002,-36.0,-64.15
trade_28,2024-01-02 09:40:00,2024-01-02 15:25:00,41.95,180.0,,2024-01-02 09:56:00,20,40,-28.150000000000002,-36.0,-64.15
trade_29,2024-01-02 09:40:00,2024-01-02 15:25:00,41.95,180.0,,2024-01-02 09:56:00,20,50,-28.150000000000002,-36.0,-64.15
trade_30,2024-01-02 09:40:00,2024-01-02 15:25:00,41.95,180.0,,2024-01-02 09:59:00,40,30,-28.150000000000002,-72.0,-100.15
trade_31,2024-01-02 09:40:00,2024-01-02 15:25:00,41.95,180.0,,2024-01-02 09:59:00,40,40,-28.150000000000002,-72.0,-100.15
trade_32,2024-01-02 09:40:00,2024-01-02 15:25:00,41.95,180.0,,2024-01-02 09:59:00,40,50,-28.150000000000002,-72.0,-100.15
trade_33,2024-01-02 09:40:00,2024-01-02 15:25:00,41.95,180.0,,2024-01-02 09:59:00,40,30,-28.150000000000002,-72.0,-100.15
trade_34,2024-01-02 09:40:00,2024-01-02 15:25:00,41.95,180.0,,2024-01-02 09:59:00,40,40,-28.150000000000002,-72.0,-100.15
trade_35,2024-01-02 09:40:00,2024-01-02 15:25:00,41.95,180.0,,2024-01-02 09:59:00,40,50,-28.150000000000002,-72.0,-100.15
trade_36,2024-01-03 09:20:00,2024-01-03 15:25:00,44.4,128.2,,2024-01-03 09:41:00,20,30,-37.699999999999996,-25.639999999999986,-63.33999999999998
trade_37,2024-01-03 09:20:00,2024-01-03 15:25:00,44.4,128.2,,2024-01-03 09:41:00,20,40,-37.699999999999996,-25.639999999999986,-63.33999999999998
trade_38,2024-01-03 09:20:00,2024-01-03 15:25:00,44.4,128.2,,2024-01-03 09:41:00,20,50,-37.699999999999996,-25.639999999999986,-63.33999999999998
trade_39,2024-01-03 09:20:00,2024-01-03 15:25:00,44.4,128.2,,2024-01-03 12:24:00,40,30,-37.699999999999996,-51.28,-88.97999999999999
trade_40,2024-01-03 09:20:00,2024-01-03 15:25:00,44.4,128.2,,2024-01-03 12:24:00,40,40,-37.699999999999996,-51.28,-88.97999999999999
trade_41,2024-01-03 09:20:00,2024-01-03 15:25:00,44.4,128.2,,2024-01-03 12:24:00,40,50,-37.699999999999996,-51.28,-88.97999999999999
trade_42,2024-01-03 09:20:00,2024-01-03 15:25:00,44.4,128.2,,2024-01-03 12:24:00,40,30,-37.699999999999996,-51.28,-88.97999999999999
trade_43,2024-01-03 09:20:00,2024-01-03 15:25:00,44.4,128.2,,2024-01-03 12:24:00,40,40,-37.699999999999996,-51.28,-88.97999999999999
trade_44,2024-01-03 09:20:00,2024-01-03 15:25:00,44.4,128.2,,2024-01-03 12:24:00,40,50,-37.699999999999996,-51.28,-88.97999999999999
trade_45,2024-01-03 09:40:00,2024-01-03 15:25:00,33.65,153.0,,2024-01-03 12:24:00,20,30,-26.95,-30.599999999999994,-57.55
trade_46,2024-01-03 09:40:00,2024-01-03 15:25:00,33.65,153.0,,2024-01-03 12:24:00,20,40,-26.95,-30.599999999999994,-57.55
trade_47,2024-01-03 09:40:00,2024-01-03 15:25:00,33.65,153.0,,2024-01-03 12:24:00,20,50,-26.95,-30.599999999999994,-57.55
trade_48,2024-01-03 09:40:00,2024-01-03 15:25:00,33.65,153.0,,2024-01-03 15:11:00,40,30,-26.95,-61.19999999999999,-88.14999999999999
trade_49,2024-01-03 09:40:00,2024-01-03 15:25:00,33.65,153.0,,2024-01-03 15:11:00,40,40,-26.95,-61.19999999999999,-88.14999999999999
trade_50,2024-01-03 09:40:00,2024-01-03 15:25:00,33.65,153.0,,2024-01-03 15:11:00,40,50,-26.95,-61.19999999999999,-88.14999999999999
trade_51,2024-01-03 09:40:00,2024-01-03 15:25:00,33.65,153.0,,2024-01-03 15:11:00,40,30,-26.95,-61.19999999999999,-88.14999999999999
trade_52,2024-01-03 09:40:00,2024-01-03 15:25:00,33.65,153.0,,2024-01-03 15:11:00,40,40,-26.95,-61.19999999999999,-88.14999999999999
trade_53,2024-01-03 09:40:00,2024-01-03 15:25:00,33.65,153.0,,2024-01-03 15:11:00,40,50,-26.95,-61.19999999999999,-88.14999999999999
trade_54,2024-01-04 09:20:00,2024-01-04 15:25:00,7.65,112.5,2024-01-04 10:14:00,,20,30,-1.5299999999999994,-69.8,-71.33
trade_55,2024-01-04 09:20:00,2024-01-04 15:25:00,7.65,112.5,2024-01-04 10:14:00,,20,40,-1.5299999999999994,-69.8,-71.33
trade_56,2024-01-04 09:20:00,2024-01-04 15:25:00,7.65,112.5,2024-01-04 10:14:00,,20,50,-1.5299999999999994,-69.8,-71.33
trade_57,2024-01-04 09:20:00,2024-01-04 15:25:00,7.65,112.5,2024-01-04 10:21:00,,40,30,-3.0600000000000005,-69.8,-72.86
trade_58,2024-01-04 09:20:00,2024-01-04 15:25:00,7.65,112.5,2024-01-04 10:21:00,,40,40,-3.0600000000000005,-69.8,-72.86
trade_59,2024-01-04 09:20:00,2024-01-04 15:25:00,7.65,112.5,2024-01-04 10:21:00,,40,50,-3.0600000000000005,-69.8,-72.86
trade_60,2024-01-04 09:20:00,2024-01-04 15:25:00,7.65,112.5,2024-01-04 10:21:00,,40,30,-3.0600000000000005,-69.8,-72.86
trade_61,2024-01-04 09:20:00,2024-01-04 15:25:00,7.65,112.5,2024-01-04 10:21:00,,40,40,-3.0600000000000005,-69.8,-72.86
trade_62,2024-01-04 09:20:00,2024-01-04 15:25:00,7.65,112.5,2024-01-04 10:21:00,,40,50,-3.0600000000000005,-69.8,-72.86
trade_63,2024-01-04 09:40:00,2024-01-04 15:25:00,6.65,99.9,2024-01-04 10:14:00,,20,30,-1.33,-57.2,-58.53
trade_64,2024-01-04 09:40:00,2024-01-04 15:25:00,6.65,99.9,2024-01-04 10:14:00,,20,40,-1.33,-57.2,-58.53
trade_65,2024-01-04 09:40:00,2024-01-04 15:25:00,6.65,99.9,2024-01-04 10:14:00,,20,50,-1.33,-57.2,-58.53
trade_66,2024-01-04 09:40:00,2024-01-04 15:25:00,6.65,99.9,2024-01-04 10:14:00,,40,30,-2.66,-57.2,-59.86
trade_67,2024-01-04 09:40:00,2024-01-04 15:25:00,6.65,99.9,2024-01-04 10:14:00,,40,40,-2.66,-57.2,-59.86
trade_68,2024-01-04 09:40:00,2024-01-04 15:25:00,6.65,99.9,2024-01-04 10:14:00,,40,50,-2.66,-57.2,-59.86
trade_69,2024-01-04 09:40:00,2024-01-04 15:25:00,6.65,99.9,2024-01-04 10:14:00,,40,30,-2.66,-57.2,-59.86
trade_70,2024-01-04 09:40:00,2024-01-04 15:25:00,6.65,99.9,2024-01-04 10:14:00,,40,40,-2.66,-57.2,-59.86
trade_71,2024-01-04 09:40:00,2024-01-04 15:25:00,6.65,99.9,2024-01-04 10:14:00,,40,50,-2.66,-57.2,-59.86
trade_72,2024-01-05 09:20:00,2024-01-05 15:25:00,91.65,148.0,,2024-01-05 10:53:00,20,30,-20.950000000000003,-29.599999999999994,-50.55
trade_73,2024-01-05 09:20:00,2024-01-05 15:25:00,91.65,148.0,,2024-01-05 10:53:00,20,40,-20.950000000000003,-29.599999999999994,-50.55
trade_74,2024-01-05 09:20:00,2024-01-05 15:25:00,91.65,148.0,,2024-01-05 10:53:00,20,50,-20.950000000000003,-29.599999999999994,-50.55
trade_75,2024-01-05 09:20:00,2024-01-05 15:25:00,91.65,148.0,,2024-01-05 14:17:00,40,30,-20.950000000000003,-59.19999999999999,-80.14999999999999
trade_76,2024-01-05 09:20:00,2024-01-05 15:25:00,91.65,148.0,,2024-01-05 14:17:00,40,40,-20.950000000000003,-59.19999999999999,-80.14999999999999
trade_77,2024-01-05 09:20:00,2024-01-05 15:25:00,91.65,148.0,,2024-01-05 14:17:00,40,50,-20.950000000000003,-59.19999999999999,-80.14999999999999
trade_78,2024-01-05 09:20:00,2024-01-05 15:25:00,91.65,148.0,,2024-01-05 14:17:00,40,30,-20.950000000000003,-59.19999999999999,-80.14999999999999
trade_79,2024-01-05 09:20:00,2024-01-05 15:25:00,91.65,148.0,,2024-01-05 14:17:00,40,40,-20.950000000000003,-59.19999999999999,-80.14999999999999
trade_80,2024-01-05 09:20:00,2024-01-05 15:25:00,91.65,148.0,,2024-01-05 14:17:00,40,50,-20.950000000000003,-59.19999999999999,-80.14999999999999
trade_81,2024-01-05 09:40:00,2024-01-05 15:25:00,90.5,144.55,,2024-01-05 10:51:00,20,30,-19.799999999999997,-28.909999999999997,-48.709999999999994
trade_82,2024-01-05 09:40:00,2024-01-05 15:25:00,90.5,144.55,,2024-01-05 10:51:00,20,40,-19.799999999999997,-28.909999999999997,-48.709999999999994
trade_83,2024-01-05 09:40:00,2024-01-05 15:25:00,90.5,144.55,,2024-01-05 10:51:00,20,50,-19.799999999999997,-28.909999999999997,-48.709999999999994
trade_84,2024-01-05 09:40:00,2024-01-05 15:25:00,90.5,144.55,,2024-01-05 14:13:00,40,30,-19.799999999999997,-57.81999999999999,-77.61999999999999
trade_85,2024-01-05 09:40:00,2024-01-05 15:25:00,90.5,144.55,,2024-01-05 14:13:00,40,40,-19.799999999999997,-57.81999999999999,-77.61999999999999
trade_86,2024-01-05 09:40:00,2024-01-05 15:25:00,90.5,144.55,,2024-01-05 14:13:00,40,50,-19.799999999999997,-57.81999999999999,-77.61999999999999
trade_87,2024-01-05 09:40:00,2024-01-05 15:25:00,90.5,144.55,,2024-01-05 14:13:00,40,30,-19.799999999999997,-57.81999999999999,-77.61999999999999
trade_88,2024-01-05 09:40:00,2024-01-05 15:25:00,90.5,144.55,,2024-01-05 14:13:00,40,40,-19.799999999999997,-57.81999999999999,-77.61999999999999
trade_89,2024-01-05 09:40:00,2024-01-05 15:25:00,90.5,144.55,,2024-01-05 14:13:00,40,50,-19.799999999999997,-57.81999999999999,-77.61999999999999
trade_90,2024-01-08 09:20:00,2024-01-08 15:25:00,66.4,142.1,2024-01-08 09:24:00,2024-01-08 09:38:00,20,30,-13.280000000000001,45.400000000000006,32.120000000000005
trade_91,2024-01-08 09:20:00,2024-01-08 15:25:00,66.4,142.1,2024-01-08 09:24:00,2024-01-08 09:38:00,20,40,-13.280000000000001,57.80000000000001,44.52000000000001
trade_92,2024-01-08 09:20:00,2024-01-08 15:25:00,66.4,142.1,2024-01-08 09:24:00,2024-01-08 09:38:00,20,50,-13.280000000000001,72.70000000000002,59.420000000000016
trade_93,2024-01-08 09:20:00,2024-01-08 15:25:00,66.4,142.1,,2024-01-08 10:56:00,40,30,-46.900000000000006,-56.84,-103.74000000000001
trade_94,2024-01-08 09:20:00,2024-01-08 15:25:00,66.4,142.1,,2024-01-08 10:56:00,40,40,-46.900000000000006,-56.84,-103.74000000000001
trade_95,2024-01-08 09:20:00,2024-01-08 15:25:00,66.4,142.1,,2024-01-08 10:56:00,40,50,-46.900000000000006,-56.84,-103.74000000000001
trade_96,2024-01-08 09:20:00,2024-01-08 15:25:00,66.4,142.1,,2024-01-08 10:56:00,40,30,-46.900000000000006,-56.84,-103.74000000000001
trade_97,2024-01-08 09:20:00,2024-01-08 15:25:00,66.4,142.1,,2024-01-08 10:56:00,40,40,-46.900000000000006,-56.84,-103.74000000000001
trade_98,2024-01-08 09:20:00,2024-01-08 15:25:00,66.4,142.1,,2024-01-08 10:56:00,40,50,-46.900000000000006,-56.84,-103.74000000000001
trade_99,2024-01-08 09:40:00,2024-01-08 15:25:00,88.85,124.7,2024-01-08 10:30:00,2024-01-08 11:07:00,20,30,-17.769999999999996,24.700000000000003,6.930000000000007
trade_100,2024-01-08 09:40:00,2024-01-08 15:25:00,88.85,124.7,2024-01-08 10:30:00,2024-01-08 11:07:00,20,40,-17.769999999999996,47.7,29.930000000000007
trade_101,2024-01-08 09:40:00,2024-01-08 15:25:00,88.85,124.7,2024-01-08 10:30:00,2024-01-08 11:07:00,20,50,-17.769999999999996,63.999999999999986,46.22999999999999
trade_102,2024-01-08 09:40:00,2024-01-08 15:25:00,88.85,124.7,,2024-01-08 11:54:00,40,30,-52.64999999999999,-49.88000000000001,-102.53
trade_103,2024-01-08 09:40:00,2024-01-08 15:25:00,88.85,124.7,,2024-01-08 11:54:00,40,40,-52.64999999999999,-49.88000000000001,-102.53
trade_104,2024-01-08 09:40:00,2024-01-08 15:25:00,88.85,124.7,,2024-01-08 11:54:00,40,50,-52.64999999999999,-49.88000000000001,-102.53
trade_105,2024-01-08 09:40:00,2024-01-08 15:25:00,88.85,124.7,,2024-01-08 11:54:00,40,30,-52.64999999999999,-49.88000000000001,-102.53
trade_106,2024-01-08 09:40:00,2024-01-08 15:25:00,88.85,124.7,,2024-01-08 11:54:00,40,40,-52.64999999999999,-49.88000000000001,-102.53
trade_107,2024-01-08 09:40:00,2024-01-08 15:25:00,88.85,124.7,,2024-01-08 11:54:00,40,50,-52.64999999999999,-49.88000000000001,-102.53
trade_108,2024-01-09 09:20:00,2024-01-09 15:25:00,71.65,102.3,2024-01-09 10:21:00,2024-01-09 09:42:00,20,30,22.549999999999997,-20.459999999999994,2.0900000000000034
trade_109,2024-01-09 09:20:00,2024-01-09 15:25:00,71.65,102.3,2024-01-09 10:21:00,2024-01-09 09:42:00,20,40,32.19999999999999,-20.459999999999994,11.739999999999995
trade_110,2024-01-09 09:20:00,2024-01-09 15:25:00,71.65,102.3,2024-01-09 10:21:00,2024-01-09 09:42:00,20,50,32.19999999999999,-20.459999999999994,11.739999999999995
trade_111,2024-01-09 09:20:00,2024-01-09 15:25:00,71.65,102.3,2024-01-09 10:44:00,2024-01-09 14:27:00,40,30,-28.659999999999997,36.7,8.040000000000006
trade_112,2024-01-09 09:20:00,2024-01-09 15:25:00,71.65,102.3,2024-01-09 10:44:00,2024-01-09 14:27:00,40,40,-28.659999999999997,55.000000000000014,26.340000000000018
trade_113,2024-01-09 09:20:00,2024-01-09 15:25:00,71.65,102.3,2024-01-09 10:44:00,2024-01-09 14:27:00,40,50,-28.659999999999997,55.000000000000014,26.340000000000018
trade_114,2024-01-09 09:20:00,2024-01-09 15:25:00,71.65,102.3,2024-01-09 10:44:00,2024-01-09 14:27:00,40,30,-28.659999999999997,36.7,8.040000000000006
trade_115,2024-01-09 09:20:00,2024-01-09 15:25:00,71.65,102.3,2024-01-09 10:44:00,2024-01-09 14:27:00,40,40,-28.659999999999997,55.000000000000014,26.340000000000018
trade_116,2024-01-09 09:20:00,2024-01-09 15:25:00,71.65,102.3,2024-01-09 10:44:00,2024-01-09 14:27:00,40,50,-28.659999999999997,55.000000000000014,26.340000000000018
trade_117,2024-01-09 09:40:00,2024-01-09 15:25:00,69.1,110.2,2024-01-09 10:20:00,2024-01-09 09:52:00,20,30,18.950000000000003,-22.040000000000006,-3.0900000000000034
trade_118,2024-01-09 09:40:00,2024-01-09 15:25:00,69.1,110.2,2024-01-09 10:20:00,2024-01-09 09:52:00,20,40,30.900000000000006,-22.040000000000006,8.86
trade_119,2024-01-09 09:40:00,2024-01-09 15:25:00,69.1,110.2,2024-01-09 10:20:00,2024-01-09 09:52:00,20,50,34.75,-22.040000000000006,12.709999999999994
trade_120,2024-01-09 09:40:00,2024-01-09 15:25:00,69.1,110.2,2024-01-09 10:43:00,2024-01-09 14:27:00,40,30,-27.64,47.10000000000001,19.460000000000008
trade_121,2024-01-09 09:40:00,2024-01-09 15:25:00,69.1,110.2,2024-01-09 10:43:00,2024-01-09 14:27:00,40,40,-27.64,47.10000000000001,19.460000000000008
trade_122,2024-01-09 09:40:00,2024-01-09 15:25:00,69.1,110.2,2024-01-09 10:43:00,2024-01-09 14:27:00,40,50,-27.64,56.45,28.810000000000002
trade_123,2024-01-09 09:40:00,2024-01-09 15:25:00,69.1,110.2,2024-01-09 10:43:00,2024-01-09 14:27:00,40,30,-27.64,47.10000000000001,19.460000000000008
trade_124,2024-01-09 09:40:00,2024-01-09 15:25:00,69.1,110.2,2024-01-09 10:43:00,2024-01-09 14:27:00,40,40,-27.64,47.10000000000001,19.460000000000008
trade_125,2024-01-09 09:40:00,2024-01-09 15:25:00,69.1,110.2,2024-01-09 10:43:00,2024-01-09 14:27:00,40,50,-27.64,56.45,28.810000000000002
trade_126,2024-01-10 09:20:00,2024-01-10 15:25:00,51.55,112.8,2024-01-10 09:44:00,2024-01-10 09:27:00,20,30,11.450000000000003,-22.559999999999988,-11.109999999999985
trade_127,2024-01-10 09:20:00,2024-01-10 15:25:00,51.55,112.8,2024-01-10 09:44:00,2024-01-10 09:27:00,20,40,22.450000000000003,-22.559999999999988,-0.10999999999998522
trade_128,2024-01-10 09:20:00,2024-01-10 15:25:00,51.55,112.8,2024-01-10 09:44:00,2024-01-10 09:27:00,20,50,35.7,-22.559999999999988,13.140000000000015
trade_129,2024-01-10 09:20:00,2024-01-10 15:25:00,51.55,112.8,2024-01-10 14:56:00,2024-01-10 09:28:00,40,30,11.450000000000003,-45.11999999999999,-33.66999999999999
trade_130,2024-01-10 09:20:00,2024-01-10 15:25:00,51.55,112.8,2024-01-10 14:56:00,2024-01-10 09:28:00,40,40,22.450000000000003,-45.11999999999999,-22.669999999999987
trade_131,2024-01-10 09:20:00,2024-01-10 15:25:00,51.55,112.8,2024-01-10 14:56:00,2024-01-10 09:28:00,40,50,35.7,-45.11999999999999,-9.419999999999987
trade_132,2024-01-10 09:20:00,2024-01-10 15:25:00,51.55,112.8,2024-01-10 14:56:00,2024-01-10 09:28:00,40,30,11.450000000000003,-45.11999999999999,-33.66999999999999
trade_133,2024-01-10 09:20:00,2024-01-10 15:25:00,51.55,112.8,2024-01-10 14:56:00,2024-01-10 09:28:00,40,40,22.450000000000003,-45.11999999999999,-22.669999999999987
trade_134,2024-01-10 09:20:00,2024-01-10 15:25:00,51.55,112.8,2024-01-10 14:56:00,2024-01-10 09:28:00,40,50,35.7,-45.11999999999999,-9.419999999999987
trade_135,2024-01-10 09:40:00,2024-01-10 15:25:00,48.6,127.85,2024-01-10 09:44:00,2024-01-10 12:45:00,20,30,-9.719999999999999,-99.94999999999999,-109.66999999999999
trade_136,2024-01-10 09:40:00,2024-01-10 15:25:00,48.6,127.85,2024-01-10 09:44:00,2024-01-10 12:45:00,20,40,-9.719999999999999,-99.94999999999999,-109.66999999999999
trade_137,2024-01-10 09:40:00,2024-01-10 15:25:00,48.6,127.85,2024-01-10 09:44:00,2024-01-10 12:45:00,20,50,-9.719999999999999,-99.94999999999999,-109.66999999999999
trade_138,2024-01-10 09:40:00,2024-01-10 15:25:00,48.6,127.85,2024-01-10 14:54:00,,40,30,-19.440000000000005,-99.94999999999999,-119.38999999999999
trade_139,2024-01-10 09:40:00,2024-01-10 15:25:00,48.6,127.85,2024-01-10 14:54:00,,40,40,-19.440000000000005,-99.94999999999999,-119.38999999999999
trade_140,2024-01-10 09:40:00,2024-01-10 15:25:00,48.6,127.85,2024-01-10 14:54:00,,40,50,-19.440000000000005,-99.94999999999999,-119.38999999999999
trade_141,2024-01-10 09:40:00,2024-01-10 15:25:00,48.6,127.85,2024-01-10 14:54:00,,40,30,-19.440000000000005,-99.94999999999999,-119.38999999999999
trade_142,2024-01-10 09:40:00,2024-01-10 15:25:00,48.6,127.85,2024-01-10 14:54:00,,40,40,-19.440000000000005,-99.94999999999999,-119.38999999999999
trade_143,2024-01-10 09:40:00,2024-01-10 15:25:00,48.6,127.85,2024-01-10 14:54:00,,40,50,-19.440000000000005,-99.94999999999999,-119.38999999999999
trade_144,2024-01-11 09:20:00,2024-01-11 15:25:00,9.5,101.0,,2024-01-11 09:33:00,20,30,-9.45,-20.200000000000003,-29.650000000000002
trade_145,2024-01-11 09:20:00,2024-01-11 15:25:00,9.5,101.0,,2024-01-11 09:33:00,20,40,-9.45,-20.200000000000003,-29.650000000000002
trade_146,2024-01-11 09:20:00,2024-01-11 15:25:00,9.5,101.0,,2024-01-11 09:33:00,20,50,-9.45,-20.200000000000003,-29.650000000000002
trade_147,2024-01-11 09:20:00,2024-01-11 15:25:00,9.5,101.0,,2024-01-11 09:55:00,40,30,-9.45,-40.400000000000006,-49.85000000000001
trade_148,2024-01-11 09:20:00,2024-01-11 15:25:00,9.5,101.0,,2024-01-11 09:55:00,40,40,-9.45,-40.400000000000006,-49.85000000000001
trade_149,2024-01-11 09:20:00,2024-01-11 15:25:00,9.5,101.0,,2024-01-11 09:55:00,40,50,-9.45,-40.400000000000006,-49.85000000000001
trade_150,2024-01-11 09:20:00,2024-01-11 15:25:00,9.5,101.0,,2024-01-11 09:55:00,40,30,-9.45,-40.400000000000006,-49.85000000000001
trade_151,2024-01-11 09:20:00,2024-01-11 15:25:00,9.5,101.0,,2024-01-11 09:55:00,40,40,-9.45,-40.400000000000006,-49.85000000000001
trade_152,2024-01-11 09:20:00,2024-01-11 15:25:00,9.5,101.0,,2024-01-11 09:55:00,40,50,-9.45,-40.400000000000006,-49.85000000000001
trade_153,2024-01-11 09:40:00,2024-01-11 15:25:00,31.6,40.75,,2024-01-11 09:42:00,20,30,-31.55,-8.149999999999999,-39.7
trade_154,2024-01-11 09:40:00,2024-01-11 15:25:00,31.6,40.75,,2024-01-11 09:42:00,20,40,-31.55,-8.149999999999999,-39.7
trade_155,2024-01-11 09:40:00,2024-01-11 15:25:00,31.6,40.75,,2024-01-11 09:42:00,20,50,-31.55,-8.149999999999999,-39.7
trade_156,2024-01-11 09:40:00,2024-01-11 15:25:00,31.6,40.75,,2024-01-11 09:55:00,40,30,-31.55,-16.299999999999997,-47.849999999999994
trade_157,2024-01-11 09:40:00,2024-01-11 15:25:00,31.6,40.75,,2024-01-11 09:55:00,40,40,-31.55,-16.299999999999997,-47.849999999999994
trade_158,2024-01-11 09:40:00,2024-01-11 15:25:00,31.6,40.75,,2024-01-11 09:55:00,40,50,-31.55,-16.299999999999997,-47.849999999999994
trade_159,2024-01-11 09:40:00,2024-01-11 15:25:00,31.6,40.75,,2024-01-11 09:55:00,40,30,-31.55,-16.299999999999997,-47.849999999999994
trade_160,2024-01-11 09:40:00,2024-01-11 15:25:00,31.6,40.75,,2024-01-11 09:55:00,40,40,-31.55,-16.299999999999997,-47.849999999999994
trade_161,2024-01-11 09:40:00,2024-01-11 15:25:00,31.6,40.75,,2024-01-11 09:55:00,40,50,-31.55,-16.299999999999997,-47.849999999999994
trade_162,2024-01-12 09:20:00,2024-01-12 15:25:00,103.35,152.35,2024-01-12 10:04:00,,20,30,-20.67,-79.35,-100.02
trade_163,2024-01-12 09:20:00,2024-01-12 15:25:00,103.35,152.35,2024-01-12 10:04:00,,20,40,-20.67,-79.35,-100.02
trade_164,2024-01-12 09:20:00,2024-01-12 15:25:00,103.35,152.35,2024-01-12 10:04:00,,20,50,-20.67,-79.35,-100.02
trade_165,2024-01-12 09:20:00,2024-01-12 15:25:00,103.35,152.35,2024-01-12 10:07:00,,40,30,-41.34,-79.35,-120.69
trade_166,2024-01-12 09:20:00,2024-01-12 15:25:00,103.35,152.35,2024-01-12 10:07:00,,40,40,-41.34,-79.35,-120.69
trade_167,2024-01-12 09:20:00,2024-01-12 15:25:00,103.35,152.35,2024-01-12 10:07:00,,40,50,-41.34,-79.35,-120.69
